#,Defense,Total PPG Allowed,Slot PPG Allowed,Wide PPG Allowed,Slot%,Wide%,Next Opp
1,ARZ,28.5,8.9,19.6,31%,69%,SF
2,ATL,29.6,6.1,23.5,22%,78%,CAR
3,BLT,40.7,15.5,25.2,34%,66%,CLV
4,BUF,27.0,9.9,17.1,37%,63%,TB
5,CAR,23.6,7.7,15.9,34%,66%,ATL
6,CHI,27.3,10.3,17.0,35%,50%,MIN
7,CIN,26.7,12.6,14.1,41%,59%,PIT
8,CLV,28.3,9.1,19.2,43%,57%,BLT
9,DAL,36.7,11.4,25.3,31%,69%,LV
10,DEN,28.5,10.5,18.0,44%,56%,KC
11,DET,34.0,14.7,19.3,41%,59%,PHI
12,GB,32.5,8.4,24.2,26%,74%,NYG
13,HST,22.0,6.7,15.3,28%,72%,TEN
14,IND,31.5,12.8,18.7,43%,57%,BYE
15,JAX,28.5,5.6,22.9,22%,78%,LAC
16,KC,22.2,7.4,14.8,33%,67%,DEN
17,LA,36.7,13.2,23.5,35%,65%,SEA
18,LAC,26.2,9.4,16.9,37%,63%,JAX
19,LV,36.4,15.1,21.2,38%,62%,DAL
20,MIA,22.4,9.4,13.0,45%,55%,WAS
21,MIN,31.7,7.7,24.1,32%,68%,CHI
22,NE,32.0,11.1,20.9,34%,66%,NYJ
23,NO,23.8,6.9,16.9,32%,68%,BYE
24,NYG,30.0,10.0,20.0,31%,69%,GB
25,NYJ,28.7,9.3,19.3,32%,68%,NE
26,PHI,31.8,10.2,21.6,36%,64%,DET
27,PIT,47.7,13.5,34.1,30%,70%,CIN
28,SEA,29.3,11.5,17.8,42%,58%,LA
29,SF,39.3,19.1,20.2,45%,55%,ARZ
30,TB,35.7,9.3,26.5,32%,68%,BUF
31,TEN,37.8,10.9,26.9,27%,73%,HST
32,WAS,43.1,18.8,24.4,45%,55%,MIA
33,NFL Average,31.2,10.7,20.5,35%,65%,
