#,Player,Pos,Team,Games,Total Points,Slot PPG,Slot%,Wide PPG,Wide%
94,Terry McLaurin,WR,WAS,4,9.8,0.4,4%,9.5,96%
95,Ryan Flournoy,WR,DAL,8,5.2,3.5,67%,1.8,33%
96,Josh Reynolds,WR,NYJ,5,4.2,0.8,18%,3.4,82%
97,Dont’e Thornton Jr.,WR,LV,7,2.3,0.0,0%,2.3,100%
98,KaVontae Turpin,WR,DAL,7,5.6,3.5,63%,2.1,37%
99,Demarcus Robinson,WR,SF,7,3.6,0.9,26%,2.7,74%
100,Joshua Palmer,WR,BUF,6,6.2,1.0,15%,5.3,85%
101,Tre Harris,WR,LAC,10,3.4,0.9,25%,2.5,75%
102,Luther Burden III,WR,CHI,8,5.5,1.6,29%,4.0,71%
103,DeAndre Hopkins,WR,BLT,9,5.0,0.3,5%,4.7,95%
104,Kalif Raymond,WR,DET,8,3.0,1.6,51%,1.5,49%
105,Nick Westbrook-Ikhine,WR,MIA,10,2.0,0.5,25%,1.5,75%
106,Chris Moore,WR,WAS,9,3.4,1.0,30%,2.4,70%
107,Greg Dortch,WR,ARZ,9,3.1,2.0,63%,1.2,37%
108,Jordan Whittington,WR,LA,9,2.7,1.7,62%,1.0,38%
109,Pat Bryant,WR,DEN,10,3.1,1.1,37%,2.0,63%
110,Zay Jones,WR,ARZ,8,3.8,0.5,14%,3.3,86%
111,Luke McCaffrey,WR,WAS,7,7.0,2.2,31%,4.8,69%
112,Roman Wilson,WR,PIT,9,4.2,0.3,7%,3.9,93%
113,Adonai Mitchell,WR,NYJ,8,3.0,0.5,17%,2.5,83%
114,Chris Godwin,WR,TB,2,5.6,5.0,89%,0.6,11%
115,Elijah Moore,WR,BUF,8,2.4,1.3,53%,1.2,47%
116,Casey Washington,WR,ATL,5,3.1,2.2,71%,0.9,29%
117,Ray-Ray McCloud III,WR,NYG,6,2.3,2.3,98%,0.1,2%
118,Tyler Johnson,WR,NYJ,8,4.3,1.6,37%,2.7,63%
119,Devaughn Vele,WR,NO,9,1.9,1.1,56%,0.8,44%
120,Jahan Dotson,WR,PHI,9,3.2,0.5,16%,2.7,84%
121,Adam Thielen,WR,MIN,9,1.5,0.3,22%,1.2,78%
122,Jamari Thrash,WR,CLV,9,2.3,1.4,62%,0.9,38%
123,Brycen Tremayne,WR,CAR,9,2.4,0.7,31%,1.7,69%
124,Christian Watson,WR,GB,3,8.9,3.2,36%,5.7,64%
125,Tyrell Shavers,WR,BUF,9,1.7,0.0,0%,1.7,100%
126,Allen Lazard,WR,NYJ,6,2.9,1.5,52%,1.4,48%
127,Jalen Coker,WR,CAR,4,3.4,2.2,63%,1.3,37%
128,Arian Smith,WR,NYJ,9,1.2,0.4,30%,0.8,70%
129,Jack Bech,WR,LV,8,1.8,0.7,40%,1.1,60%
130,Savion Williams,WR,GB,9,2.2,1.7,81%,0.4,19%
131,Tutu Atwell,WR,LA,6,4.4,4.2,95%,0.2,5%
132,Jalin Hyatt,WR,NYG,5,0.9,0.0,0%,0.9,100%
133,KhaDarel Hodge,WR,ATL,4,1.5,0.4,28%,1.1,72%
134,Xavier Smith,WR,LA,7,2.0,1.5,76%,0.5,24%
135,Marquez Valdes-Scantling,WR,SF,5,1.6,0.6,40%,1.0,60%
136,Braxton Berrios,WR,HST,2,4.9,2.8,58%,2.1,42%
137,Kyle Williams,WR,NE,10,1.8,0.0,0%,1.8,100%
138,Robbie Chosen,WR,WAS,2,5.2,0.8,15%,4.4,85%
139,Jimmy Horn Jr.,WR,CAR,6,2.1,1.4,66%,0.7,34%
140,Lil’Jordan Humphrey,WR,NYG,3,3.2,0.0,0%,3.2,100%
141,Ashton Dulin,WR,IND,8,1.2,0.0,0%,1.2,100%
142,Noah Brown,WR,WAS,2,3.3,0.0,0%,3.3,100%
143,Isaac TeSlaa,WR,DET,9,2.5,0.0,0%,2.5,100%
144,David Sills V,WR,ATL,9,0.6,0.6,100%,0.0,0%
145,Kameron Johnson,WR,TB,8,2.1,1.9,94%,0.1,6%
146,Tim Patrick,WR,JAX,7,2.3,0.4,16%,2.0,84%
147,D’Wayne Eskridge,WR,MIA,8,1.3,0.5,36%,0.8,64%
148,Beaux Collins,WR,NYG,7,0.6,0.4,62%,0.2,38%
149,Curtis Samuel,WR,BUF,5,3.4,0.3,9%,3.1,91%
150,Skyy Moore,WR,SF,9,1.2,0.5,43%,0.7,57%
151,Tylan Wallace,WR,BLT,7,2.1,0.3,14%,1.8,86%
152,Malik Heath,WR,GB,9,1.6,0.4,26%,1.2,74%
153,Mitchell Tinsley,WR,CIN,9,1.5,0.0,0%,1.5,100%
154,Jayden Reed,WR,GB,2,6.8,6.8,100%,0.0,0%
155,John Metchie III,WR,NYJ,7,1.0,0.8,76%,0.2,24%
156,Isaiah Williams,WR,NYJ,3,2.5,2.0,80%,0.5,20%
157,Treylon Burks,WR,WAS,2,5.6,0.0,0%,5.6,100%
158,Justin Watson,WR,HST,2,3.0,3.0,0%,0.0,0%
159,KeAndre Lambert-Smith,WR,LAC,6,0.2,0.0,0%,0.2,100%
160,Trent Sherfield,WR,DEN,10,0.5,0.3,51%,0.3,49%
161,Konata Mumpfield,WR,LA,8,1.2,0.0,0%,1.2,100%
162,Ryan Miller,WR,TB,9,1.3,0.3,21%,1.0,79%
163,Austin Trammell,WR,JAX,2,2.7,2.7,100%,0.0,0%
164,Bo Melton,WR,GB,3,1.6,0.7,42%,0.9,58%
165,Gage Larvadain,WR,CLV,5,0.8,0.5,57%,0.4,43%
166,Gunner Olszewski,WR,NYG,5,1.9,1.9,100%,0.0,0%
167,Malachi Corley,WR,CLV,5,0.7,0.2,27%,0.5,73%
168,Devin Duvernay,WR,CHI,2,0.6,0.6,100%,0.0,0%
169,Ben Skowronek,WR,PIT,9,1.3,1.0,80%,0.3,20%
170,Devontez Walker,WR,BLT,3,7.0,0.0,0%,7.0,100%
171,Jordan Watkins,WR,SF,3,1.5,0.6,37%,1.0,63%
172,Jake Bobo,WR,SEA,6,0.7,0.7,100%,0.0,0%
173,Tay Martin,WR,WAS,3,1.4,0.0,0%,1.4,100%
174,Cody White,WR,SEA,3,4.3,0.0,0%,4.3,100%
175,Tahj Washington,WR,MIA,3,0.7,0.0,0%,0.7,100%
176,Jared Wayne,WR,HST,1,4.0,0.0,0%,4.0,100%
177,Cedrick Wilson Jr.,WR,MIA,3,1.0,0.0,0%,1.0,100%
178,Alex Bachman,WR,LV,6,0.3,0.3,100%,0.0,0%
179,Scott Miller,WR,PIT,6,0.3,0.0,0%,0.3,100%
180,Dareke Young,WR,SEA,4,1.7,0.0,0%,1.7,100%
181,David Moore,WR,CAR,3,0.5,0.0,0%,0.5,100%
182,Xavier Gipson,WR,PHI,2,0.7,0.7,100%,0.0,0%
183,Derius Davis,WR,LAC,7,0.2,0.0,0%,0.2,100%
184,Anthony Gould,WR,IND,3,0.4,0.4,100%,0.0,0%
185,Michael Bandy,WR,DEN,2,1.3,1.3,100%,0.0,0%
186,Tim Jones,WR,JAX,4,0.6,0.0,0%,0.6,100%
187,Bryce Oliver,WR,TEN,2,0.9,0.0,0%,0.9,100%
188,Nikko Remigio,WR,KC,4,0.8,0.0,0%,0.8,100%
