#,Player,Pos,Team,Games,Total Points,Slot PPG,Slot%,Wide PPG,Wide%
1,Ja’Marr Chase,WR,CIN,9,21.0,6.3,30%,14.7,70%
2,Chris Olave,WR,NO,10,15.0,5.7,38%,9.4,62%
3,Justin Jefferson,WR,MIN,9,14.6,3.4,23%,11.2,77%
4,Jaxon Smith-Njigba,WR,SEA,9,21.9,2.7,12%,19.2,88%
5,Amon-Ra St. Brown,WR,DET,9,20.1,12.3,61%,7.8,39%
6,Davante Adams,WR,LA,9,17.0,2.1,13%,14.8,87%
7,Drake London,WR,ATL,8,19.8,7.7,39%,12.1,61%
8,Puka Nacua,WR,LA,8,20.9,6.6,31%,14.4,69%
9,Keenan Allen,WR,LAC,10,13.0,5.8,44%,7.2,56%
10,Tetairoa McMillan,WR,CAR,10,12.0,3.2,26%,8.8,74%
11,Ladd McConkey,WR,LAC,10,13.8,8.2,59%,5.6,41%
12,Wan’Dale Robinson,WR,NYG,10,12.5,9.9,79%,2.7,21%
13,Emeka Egbuka,WR,TB,9,16.0,3.5,22%,12.4,78%
14,Troy Franklin,WR,DEN,10,11.5,5.0,43%,6.5,57%
15,George Pickens,WR,DAL,9,17.9,1.7,9%,16.3,91%
16,Michael Pittman Jr.,WR,IND,10,14.8,2.5,17%,12.3,83%
17,Nico Collins,WR,HST,8,14.1,2.2,15%,12.0,85%
18,Rashid Shaheed,WR,SEA,10,10.7,5.1,47%,5.7,53%
19,Rome Odunze,WR,CHI,9,14.3,2.1,14%,12.3,86%
20,Jaylen Waddle,WR,MIA,10,14.3,1.7,12%,12.6,88%
21,Courtland Sutton,WR,DEN,10,12.4,3.3,27%,9.1,73%
22,Zay Flowers,WR,BLT,9,13.2,5.5,42%,7.6,58%
23,Jerry Jeudy,WR,CLV,9,7.5,2.0,27%,5.5,73%
24,DeVonta Smith,WR,PHI,9,14.6,6.5,44%,8.2,56%
25,Marvin Harrison Jr.,WR,ARZ,9,12.3,2.0,16%,10.3,84%
26,Stefon Diggs,WR,NE,10,12.3,3.3,26%,9.1,74%
27,Deebo Samuel,WR,WAS,9,12.2,6.2,51%,5.9,49%
28,Brian Thomas Jr.,WR,JAX,8,9.8,0.5,5%,9.3,95%
29,Quentin Johnston,WR,LAC,9,13.7,2.5,19%,11.2,81%
30,Romeo Doubs,WR,GB,9,11.5,1.2,11%,10.3,89%
31,D.K. Metcalf,WR,PIT,9,12.5,1.8,14%,10.7,86%
32,Tee Higgins,WR,CIN,9,12.9,1.2,9%,11.7,91%
33,Khalil Shakir,WR,BUF,9,12.1,6.2,51%,5.9,49%
34,Garrett Wilson,WR,NYJ,7,14.2,5.8,41%,8.4,59%
35,CeeDee Lamb,WR,DAL,6,15.0,5.9,39%,9.2,61%
36,A.J. Brown,WR,PHI,8,11.2,0.4,4%,10.8,96%
37,Jakobi Meyers,WR,JAX,8,9.4,6.2,66%,3.2,34%
38,Marquise Brown,WR,KC,9,10.8,4.9,45%,5.9,55%
39,Elic Ayomanor,WR,TEN,9,7.8,1.8,23%,6.0,77%
40,Alec Pierce,WR,IND,8,11.6,1.1,10%,10.4,90%
41,Keon Coleman,WR,BUF,9,9.2,1.3,14%,7.9,86%
42,Jauan Jennings,WR,SF,8,9.8,3.5,36%,6.3,64%
43,Josh Downs,WR,IND,9,9.5,7.2,75%,2.4,25%
44,Olamide Zaccheaus,WR,CHI,9,7.0,5.0,71%,2.0,29%
45,Tre Tucker,WR,LV,9,11.5,1.4,13%,10.1,87%
46,Parker Washington,WR,JAX,9,8.1,3.9,48%,4.2,52%
47,DJ Moore,WR,CHI,9,8.5,1.9,22%,6.6,78%
48,Travis Hunter,WR,JAX,7,9.1,6.6,73%,2.5,27%
49,Malik Washington,WR,MIA,10,6.1,3.2,53%,2.9,47%
50,Kendrick Bourne,WR,SF,9,8.8,2.3,26%,6.5,74%
51,Jameson Williams,WR,DET,9,10.9,2.2,20%,8.8,80%
52,Sterling Shepard,WR,TB,9,7.3,2.8,38%,4.5,62%
53,Jordan Addison,WR,MIN,6,12.9,2.6,20%,10.3,80%
54,Xavier Worthy,WR,KC,7,7.9,4.5,57%,3.4,43%
55,Michael Wilson,WR,ARZ,9,5.7,2.8,50%,2.9,50%
56,Dyami Brown,WR,JAX,8,5.9,0.9,15%,5.0,85%
57,Calvin Ridley,WR,TEN,6,7.5,1.5,20%,6.0,80%
58,Calvin Austin III,WR,PIT,7,8.1,4.0,50%,4.1,50%
59,Jalen Nailor,WR,MIN,9,6.8,4.8,70%,2.0,30%
60,Xavier Legette,WR,CAR,8,6.3,1.8,29%,4.5,71%
61,Darnell Mooney,WR,ATL,7,4.6,1.6,36%,2.9,64%
62,Darius Slayton,WR,NYG,8,7.2,1.0,14%,6.2,86%
63,Mack Hollins,WR,NE,10,7.0,0.6,9%,6.4,91%
64,Cooper Kupp,WR,SEA,8,8.6,4.3,51%,4.3,49%
65,Marvin Mims Jr.,WR,DEN,8,6.4,2.3,35%,4.2,65%
66,Chimere Dike,WR,TEN,9,5.2,3.8,74%,1.3,26%
67,Mike Evans,WR,TB,4,8.5,1.5,17%,7.0,83%
68,Kayshon Boutte,WR,NE,9,10.7,1.1,10%,9.6,90%
69,Malik Nabers,WR,NYG,4,14.3,2.8,19%,11.5,81%
70,Andrei Iosivas,WR,CIN,9,5.1,2.3,45%,2.8,55%
71,JuJu Smith-Schuster,WR,KC,9,6.7,4.3,65%,2.3,35%
72,Xavier Hutchinson,WR,HST,9,6.8,3.9,57%,2.9,43%
73,Isaiah Bond,WR,CLV,8,2.9,1.5,51%,1.4,49%
74,Demario Douglas,WR,NE,10,6.8,4.2,62%,2.5,38%
75,Tyreek Hill,WR,MIA,4,13.4,2.2,16%,11.2,84%
76,Matthew Golden,WR,GB,8,6.2,3.0,48%,3.2,52%
77,Jaylin Lane,WR,WAS,10,3.6,1.5,42%,2.1,58%
78,Tez Johnson,WR,TB,8,8.6,4.3,50%,4.3,50%
79,Jayden Higgins,WR,HST,9,6.3,2.2,34%,4.2,66%
80,Ricky Pearsall,WR,SF,4,13.2,4.4,33%,8.8,67%
81,Rashod Bateman,WR,BLT,9,5.3,0.5,10%,4.8,90%
82,Tyler Lockett,WR,LV,9,2.9,1.8,61%,1.2,39%
83,Tyquan Thornton,WR,KC,9,7.0,2.9,41%,4.1,59%
84,Rashee Rice,WR,KC,3,19.8,8.5,43%,11.3,57%
85,Dontayvion Wicks,WR,GB,7,4.9,2.2,45%,2.7,55%
86,Van Jefferson,WR,TEN,9,3.4,0.4,13%,3.0,87%
87,Christian Kirk,WR,HST,5,5.8,4.3,75%,1.4,25%
88,Hunter Renfrow,WR,CAR,6,6.0,4.7,79%,1.3,21%
89,Jaylin Noel,WR,HST,9,4.9,3.8,79%,1.0,21%
90,Cedric Tillman,WR,CLV,5,7.3,3.2,44%,4.1,56%
91,Jalen Tolbert,WR,DAL,9,4.1,1.0,24%,3.1,76%
92,Brandin Cooks,WR,NO,10,3.6,1.2,35%,2.3,65%
93,Tory Horton,WR,SEA,8,7.4,1.9,26%,5.5,74%
