RK,NAME,TEAM,POS,WK,OPP,TGTS,REC,CATCH%,YDS,TD,LONG,YDS/TGT,YDS/REC,ATT,YDS,AVG,TD,FUM,LOST,FPTS
23,Stefon Diggs,NE,WR,7,TEN,7,7,100,69,0,24,9.9,9.9,0,0,,0,0,0,13.9
24,Kayshon Boutte,NE,WR,7,TEN,2,2,100,55,1,39,27.5,27.5,0,0,,0,0,0,13.5
25,Romeo Doubs,GB,WR,7,ARI,8,6,75,72,0,22,9,12,0,0,,0,0,0,13.2
26,Justin Jefferson,MIN,WR,7,PHI,10,5,50,79,0,40,7.9,15.8,0,0,,0,0,0,12.9
27,Troy Franklin,DEN,WR,7,NYG,10,3,30,19,1,12,1.9,6.3,0,0,,0,0,0,12.9
28,George Pickens,DAL,WR,7,WAS,6,4,66.7,82,0,44,13.7,20.5,0,0,,0,0,0,12.2
29,Jaylin Noel,HOU,WR,7,SEA,7,4,57.1,77,0,29,11,19.2,0,0,,0,0,0,11.7
30,Quentin Johnston,LAC,WR,7,IND,6,2,33.3,30,1,23,5,15,0,0,,0,0,0,11
31,Parker Washington,JAX,WR,7,LAR,10,4,40,52,0,25,5.2,13,3,10,3.3,0,0,0,10.2
32,Darnell Mooney,ATL,WR,7,SF,5,3,60,68,0,38,13.6,22.7,0,0,,0,0,0,9.8
33,Emeka Egbuka,TB,WR,7,DET,12,4,33.3,58,0,30,4.8,14.5,0,0,,0,0,0,9.8
34,Marquise Brown,KC,WR,7,LV,4,2,50,14,1,8,3.5,7,0,0,,0,1,0,9.4
35,Tyler Johnson,NYJ,WR,7,CAR,3,3,100,60,0,35,20,20,0,0,,0,0,0,9
36,Jaylin Lane,WAS,WR,7,DAL,6,3,50,60,0,35,10,20,0,0,,0,0,0,9
37,Zay Jones,ARI,WR,7,GB,2,2,100,67,0,43,33.5,33.5,0,0,,0,0,0,8.7
38,Tre Tucker,LV,WR,7,KC,6,5,83.3,33,0,14,5.5,6.6,0,0,,0,0,0,8.3
39,DJ Moore,CHI,WR,7,NO,5,3,60,43,0,26,8.6,14.3,1,9,9,0,0,0,8.2
40,Drake London,ATL,WR,7,SF,10,4,40,42,0,19,4.2,10.5,0,0,,0,0,0,8.2
41,Van Jefferson,TEN,WR,7,NE,4,4,100,41,0,15,10.2,10.2,0,0,,0,0,0,8.1
42,Rashid Shaheed,NO,WR,7,CHI,9,4,44.4,40,0,13,4.4,10,0,0,,0,0,0,8
43,DK Metcalf,PIT,WR,7,CIN,5,3,60,50,0,39,10,16.7,0,0,,0,0,0,8
44,Malik Washington,MIA,WR,7,CLE,8,5,62.5,30,0,14,3.8,6,0,0,,0,0,0,8
45,Andrei Iosivas,CIN,WR,7,PIT,4,3,75,49,0,37,12.2,16.3,0,0,,0,0,0,7.9
46,Chris Moore,WAS,WR,7,DAL,5,2,40,59,0,44,11.8,29.5,0,0,,0,0,0,7.9
47,Xavier Worthy,KC,WR,7,LV,4,3,75,35,0,15,8.8,11.7,1,13,13,0,0,0,7.8
48,Marvin Harrison Jr.,ARI,WR,7,GB,6,2,33.3,58,0,35,9.7,29,0,0,,0,0,0,7.8
49,Matthew Golden,GB,WR,7,ARI,4,4,100,37,0,17,9.2,9.2,0,0,,0,0,0,7.7
50,Robbie Chosen,WAS,WR,7,DAL,4,4,100,36,0,13,9,9,0,0,,0,0,0,7.6
51,Sterling Shepard,TB,WR,7,DET,7,7,100,25,0,11,3.6,3.6,0,0,,0,1,1,7.5
52,Konata Mumpfield,LAR,WR,7,JAX,1,1,100,5,1,5,5,5,0,0,,0,0,0,7.5
53,Mack Hollins,NE,WR,7,TEN,2,2,100,49,0,27,24.5,24.5,1,4,4,0,0,0,7.3
54,Jauan Jennings,SF,WR,7,ATL,7,4,57.1,31,0,13,4.4,7.8,0,0,,0,0,0,7.1
55,Michael Wilson,ARI,WR,7,GB,4,3,75,40,0,18,10,13.3,0,0,,0,0,0,7
56,Dyami Brown,JAX,WR,7,LAR,4,2,50,50,0,39,12.5,25,0,0,,0,0,0,7
57,Nico Collins,HOU,WR,7,SEA,10,4,40,27,0,14,2.7,6.8,0,0,,0,0,0,6.7
58,JuJu Smith-Schuster,KC,WR,7,LV,3,3,100,35,0,19,11.7,11.7,0,0,,0,0,0,6.5
59,Tetairoa McMillan,CAR,WR,7,NYJ,5,3,60,33,0,11,6.6,11,0,0,,0,0,0,6.3
60,Brian Thomas Jr.,JAX,WR,7,LAR,7,3,42.9,31,0,24,4.4,10.3,0,0,,0,0,0,6.1
61,Josh Reynolds,NYJ,WR,7,CAR,9,3,33.3,29,0,12,3.2,9.7,0,0,,0,0,0,5.9
62,Jalen Nailor,MIN,WR,7,PHI,4,2,50,37,0,26,9.2,18.5,0,0,,0,0,0,5.7
63,Rome Odunze,CHI,WR,7,NO,6,2,33.3,31,0,20,5.2,15.5,0,0,,0,0,0,5.1
64,Tyquan Thornton,KC,WR,7,LV,2,1,50,39,0,39,19.5,39,0,0,,0,0,0,4.9
65,Elic Ayomanor,TEN,WR,7,NE,5,2,40,29,0,20,5.8,14.5,0,0,,0,0,0,4.9
66,DeMario Douglas,NE,WR,7,TEN,3,3,100,17,0,12,5.7,5.7,0,0,,0,0,0,4.7
67,Kalif Raymond,DET,WR,7,TB,3,3,100,17,0,8,5.7,5.7,0,0,,0,0,0,4.7
68,Nick Westbrook-Ikhine,MIA,WR,7,CLE,4,3,75,16,0,11,4,5.3,0,0,,0,0,0,4.6
69,Dee Eskridge,MIA,WR,7,CLE,2,2,100,45,0,40,22.5,22.5,0,0,,0,1,1,4.5
70,Tre' Harris,LAC,WR,7,IND,2,2,100,23,0,14,11.5,11.5,0,0,,0,0,0,4.3
71,Tyler Lockett,TEN,WR,7,NE,2,2,100,18,0,13,9,9,0,0,,0,0,0,3.8
72,Malachi Corley,CLE,WR,7,MIA,2,2,100,17,0,17,8.5,8.5,0,0,,0,0,0,3.7
73,Roman Wilson,PIT,WR,7,CIN,2,2,100,17,0,13,8.5,8.5,0,0,,0,0,0,3.7
74,Jerry Jeudy,CLE,WR,7,MIA,4,2,50,17,0,16,4.2,8.5,0,0,,0,0,0,3.7
75,Allen Lazard,NYJ,WR,7,CAR,3,2,66.7,16,0,9,5.3,8,0,0,,0,0,0,3.6
76,Xavier Smith,LAR,WR,7,JAX,3,2,66.7,15,0,9,5,7.5,0,0,,0,0,0,3.5
77,Kendrick Bourne,SF,WR,7,ATL,2,2,100,14,0,10,7,7,0,0,,0,0,0,3.4
78,Jack Bech,LV,WR,7,KC,2,2,100,13,0,7,6.5,6.5,0,0,,0,0,0,3.3
79,Jamari Thrash,CLE,WR,7,MIA,2,1,50,23,0,23,11.5,23,0,0,,0,0,0,3.3
80,Tim Patrick,JAX,WR,7,LAR,1,1,100,22,0,22,22,22,0,0,,0,0,0,3.2
81,Luther Burden III,CHI,WR,7,NO,2,1,50,22,0,22,11,22,1,-1,-1,0,0,0,3.1
82,Olamide Zaccheaus,CHI,WR,7,NO,3,2,66.7,9,0,6,3,4.5,1,0,0,0,0,0,2.9
83,Jordan Whittington,LAR,WR,7,JAX,4,2,50,9,0,9,2.2,4.5,0,0,,0,0,0,2.9
84,Casey Washington,ATL,WR,7,SF,2,1,50,17,0,17,8.5,17,0,0,,0,0,0,2.7
85,KaVontae Turpin,DAL,WR,7,WAS,1,1,100,17,0,17,17,17,0,0,,0,0,0,2.7
86,Jalen Tolbert,DAL,WR,7,WAS,2,1,50,16,0,16,8,16,0,0,,0,0,0,2.6
87,Greg Dortch,ARI,WR,7,GB,2,2,100,5,0,5,2.5,2.5,0,0,,0,0,0,2.5
88,Skyy Moore,SF,WR,7,ATL,1,1,100,15,0,15,15,15,0,0,,0,0,0,2.5
89,Jaylen Waddle,MIA,WR,7,CLE,4,1,25,15,0,15,3.8,15,0,0,,0,0,0,2.5
90,Jimmy Horn Jr.,CAR,WR,7,NYJ,2,1,50,8,0,8,4,8,1,7,7,0,0,0,2.5
91,Ryan Miller,TB,WR,7,DET,1,1,100,14,0,14,14,14,0,0,,0,0,0,2.4
92,Xavier Hutchinson,HOU,WR,7,SEA,4,1,25,13,0,13,3.2,13,0,0,,0,0,0,2.3
93,Cooper Kupp,SEA,WR,7,HOU,1,1,100,32,0,32,32,32,0,0,,0,0,0,2.2
94,Adam Thielen,MIN,WR,7,PHI,2,1,50,10,0,10,5,10,0,0,,0,0,0,2
95,Scotty Miller,PIT,WR,7,CIN,1,1,100,9,0,9,9,9,0,0,,0,0,0,1.9
96,Adonai Mitchell,IND,WR,7,LAC,1,1,100,8,0,8,8,8,0,0,,0,0,0,1.8
97,Pat Bryant,DEN,WR,7,NYG,4,1,25,6,0,6,1.5,6,0,0,,0,0,0,1.6
98,Dontayvion Wicks,GB,WR,7,ARI,2,1,50,5,0,5,2.5,5,0,0,,0,0,0,1.5
99,Brandin Cooks,NO,WR,7,CHI,1,1,100,3,0,3,3,3,0,0,,0,0,0,1.3
100,Anthony Gould,IND,WR,7,LAC,1,1,100,3,0,3,3,3,0,0,,0,0,0,1.3
