RK,NAME,TEAM,POS,WK,OPP,TGTS,REC,CATCH%,YDS,TD,LONG,YDS/TGT,YDS/REC,ATT,YDS,AVG,TD,FUM,LOST,FPTS
1,Ja'Marr Chase,CIN,WR,7,PIT,23,16,69.6,161,1,18,7,10.1,0,0,,0,0,0,38.1
2,DeVonta Smith,PHI,WR,7,MIN,11,9,81.8,183,1,79,16.6,20.3,0,0,,0,0,0,33.3
3,Keenan Allen,LAC,WR,7,IND,14,11,78.6,119,1,30,8.5,10.8,0,0,,0,0,0,28.9
4,A.J. Brown,PHI,WR,7,MIN,6,4,66.7,121,2,45,20.2,30.2,0,0,,0,0,0,28.1
5,Chris Olave,NO,WR,7,CHI,7,5,71.4,98,2,57,14,19.6,0,0,,0,0,0,26.8
6,Davante Adams,LAR,WR,7,JAX,8,5,62.5,35,3,16,4.4,7,0,0,,0,0,0,26.5
7,Jaxon Smith-Njigba,SEA,WR,7,HOU,14,8,57.1,123,1,26,8.8,15.4,0,0,,0,0,0,26.3
8,Xavier Legette,CAR,WR,7,NYJ,11,9,81.8,92,1,33,8.4,10.2,0,0,,0,0,0,24.2
9,Travis Hunter,JAX,WR,7,LAR,14,8,57.1,101,1,34,7.2,12.6,1,0,0,0,0,0,24.1
10,Rashee Rice,KC,WR,7,LV,10,7,70,42,2,12,4.2,6,0,0,,0,0,0,23.2
11,CeeDee Lamb,DAL,WR,7,WAS,8,5,62.5,110,1,74,13.8,22,0,0,,0,0,0,22
12,Jordan Addison,MIN,WR,7,PHI,12,9,75,128,0,34,10.7,14.2,0,0,,0,0,0,21.8
13,Tee Higgins,CIN,WR,7,PIT,10,6,60,96,1,29,9.6,16,0,0,,0,0,0,21.6
14,Michael Pittman Jr.,IND,WR,7,LAC,9,7,77.8,58,1,16,6.4,8.3,0,0,,0,0,0,20.8
15,Amon-Ra St. Brown,DET,WR,7,TB,10,6,60,86,1,27,8.6,14.3,0,0,,0,0,0,20.6
16,Chimere Dike,TEN,WR,7,NE,4,4,100,70,1,38,17.5,17.5,1,-1,-1,0,0,0,16.9
17,Courtland Sutton,DEN,WR,7,NYG,10,6,60,87,0,32,8.7,14.5,0,0,,0,0,0,16.7
18,Marvin Mims Jr.,DEN,WR,7,NYG,7,6,85.7,85,0,31,12.1,14.2,1,13,13,0,0,0,15.8
19,Tez Johnson,TB,WR,7,DET,9,4,44.4,58,1,22,6.4,14.5,0,0,,0,0,0,15.8
20,Ladd McConkey,LAC,WR,7,IND,15,9,60,67,0,15,4.5,7.4,0,0,,0,0,0,15.7
21,Wan'Dale Robinson,NYG,WR,7,DEN,12,6,50,95,0,23,7.9,15.8,0,0,,0,0,0,15.5
22,Alec Pierce,IND,WR,7,LAC,10,5,50,98,0,48,9.8,19.6,0,0,,0,0,0,14.8
