#,Player,Pos,Team,Games,Total Points,Slot PPG,Slot%,Wide PPG,Wide%
1,Ja’Marr Chase,WR,CIN,10,19.5,5.8,30%,13.7,70%
2,Jaxon Smith-Njigba,WR,SEA,11,23.0,4.3,19%,18.8,81%
3,Chris Olave,WR,NO,11,15.1,5.4,36%,9.7,64%
4,Amon-Ra St. Brown,WR,DET,11,19.8,11.6,59%,8.1,41%
5,Justin Jefferson,WR,MIN,11,13.8,3.3,24%,10.5,76%
6,Wan’Dale Robinson,WR,NYG,12,13.6,8.9,65%,4.7,35%
7,Tetairoa McMillan,WR,CAR,12,13.7,3.6,27%,10.1,73%
8,Puka Nacua,WR,LA,10,19.9,6.4,32%,13.5,68%
9,Davante Adams,WR,LA,11,16.6,1.8,11%,14.9,89%
10,Emeka Egbuka,WR,TB,11,14.4,3.2,22%,11.2,78%
11,George Pickens,WR,DAL,11,20.0,1.8,9%,18.2,91%
12,Drake London,WR,ATL,9,19.7,8.3,42%,11.4,58%
13,Nico Collins,WR,HST,10,14.6,3.2,22%,11.4,78%
14,Keenan Allen,WR,LAC,11,12.7,5.8,46%,6.9,54%
15,Rome Odunze,WR,CHI,11,13.0,2.5,19%,10.5,81%
16,Ladd McConkey,WR,LAC,11,12.9,7.6,58%,5.4,42%
17,Troy Franklin,WR,DEN,11,11.5,4.7,41%,6.8,59%
18,DeVonta Smith,WR,PHI,11,13.5,6.1,46%,7.3,54%
19,Michael Pittman Jr.,WR,IND,11,14.7,2.8,19%,11.9,81%
20,Zay Flowers,WR,BLT,11,12.7,5.5,43%,7.2,57%
21,Jerry Jeudy,WR,CLV,11,7.0,1.6,23%,5.4,77%
22,Stefon Diggs,WR,NE,12,12.2,4.2,34%,8.1,66%
23,A.J. Brown,WR,PHI,10,12.7,0.5,4%,12.2,96%
24,Jaylen Waddle,WR,MIA,11,13.7,1.8,13%,12.0,87%
25,Rashid Shaheed,WR,SEA,12,9.3,4.2,45%,5.1,55%
26,Courtland Sutton,WR,DEN,11,12.2,3.0,25%,9.2,75%
27,Tee Higgins,WR,CIN,11,12.7,0.9,7%,11.7,93%
28,D.K. Metcalf,WR,PIT,11,11.8,1.5,12%,10.3,88%
29,CeeDee Lamb,WR,DAL,8,14.9,5.0,34%,9.9,66%
30,Michael Wilson,WR,ARZ,11,9.7,3.0,31%,6.6,69%
