#,Player,Pos,Team,Games,Total Points,Slot PPG,Slot%,Wide PPG,Wide%
31,Khalil Shakir,WR,BUF,11,11.7,6.2,53%,5.4,47%
32,Deebo Samuel,WR,WAS,10,13.0,7.1,54%,5.9,46%
33,Romeo Doubs,WR,GB,11,10.7,1.5,14%,9.2,86%
34,Tre Tucker,WR,LV,11,11.3,1.2,10%,10.1,90%
35,Jakobi Meyers,WR,JAX,10,10.2,5.4,53%,4.8,47%
36,Jauan Jennings,WR,SF,10,10.3,3.3,32%,7.0,68%
37,Marvin Harrison Jr.,WR,ARZ,9,12.3,2.0,16%,10.3,84%
38,Quentin Johnston,WR,LAC,10,12.3,2.3,19%,10.0,81%
39,Brian Thomas Jr.,WR,JAX,8,9.8,0.5,5%,9.3,95%
40,Marquise Brown,WR,KC,11,9.7,4.2,43%,5.5,57%
41,Elic Ayomanor,WR,TEN,10,7.3,1.7,22%,5.7,78%
42,Parker Washington,WR,JAX,11,8.6,3.7,43%,5.0,57%
43,DJ Moore,WR,CHI,11,9.3,2.6,28%,6.7,72%
44,Garrett Wilson,WR,NYJ,7,14.2,5.8,41%,8.4,59%
45,Xavier Worthy,WR,KC,9,7.9,3.7,47%,4.1,53%
46,Josh Downs,WR,IND,10,8.9,6.7,76%,2.1,24%
47,Alec Pierce,WR,IND,9,10.7,1.0,9%,9.7,91%
48,Keon Coleman,WR,BUF,9,9.2,1.3,14%,7.9,86%
49,Sterling Shepard,WR,TB,11,7.2,3.4,47%,3.8,53%
50,Jameson Williams,WR,DET,11,10.7,2.0,19%,8.6,81%
51,Olamide Zaccheaus,WR,CHI,11,5.9,4.1,70%,1.8,30%
52,Jordan Addison,WR,MIN,8,10.9,3.0,27%,7.9,73%
53,Rashee Rice,WR,KC,5,18.3,9.4,51%,8.9,49%
54,Xavier Legette,WR,CAR,10,7.4,1.9,25%,5.5,75%
55,Malik Washington,WR,MIA,11,6.2,3.2,51%,3.0,49%
56,Jayden Higgins,WR,HST,11,7.3,2.5,34%,4.8,66%
57,Mack Hollins,WR,NE,12,7.1,0.7,9%,6.5,91%
58,Darnell Mooney,WR,ATL,9,6.1,1.5,24%,4.6,76%
59,Cooper Kupp,WR,SEA,10,7.8,4.2,54%,3.6,46%
60,Travis Hunter,WR,JAX,7,9.1,6.6,73%,2.5,27%
61,Chimere Dike,WR,TEN,11,5.9,4.4,74%,1.6,26%
62,Kendrick Bourne,WR,SF,11,7.2,1.9,26%,5.3,74%
63,Calvin Austin III,WR,PIT,9,7.3,3.5,48%,3.8,52%
64,Andrei Iosivas,WR,CIN,11,5.5,2.3,42%,3.2,58%
65,Christian Kirk,WR,HST,7,6.7,5.1,76%,1.6,24%
66,Jalen Nailor,WR,MIN,11,5.8,4.1,71%,1.7,29%
67,Dyami Brown,WR,JAX,10,4.7,0.7,15%,4.0,85%
68,Darius Slayton,WR,NYG,9,6.7,0.9,13%,5.9,87%
69,Tez Johnson,WR,TB,10,8.1,3.6,44%,4.5,56%
70,Calvin Ridley,WR,TEN,7,6.8,1.3,19%,5.5,81%
71,Tyler Lockett,WR,LV,11,3.9,2.2,56%,1.7,44%
72,Xavier Hutchinson,WR,HST,11,6.2,3.3,53%,2.9,47%
73,Ricky Pearsall,WR,SF,6,9.4,2.9,31%,6.5,69%
74,Demario Douglas,WR,NE,12,6.6,4.0,61%,2.6,39%
75,Van Jefferson,WR,TEN,11,4.0,1.2,31%,2.8,69%
76,Kayshon Boutte,WR,NE,10,10.0,1.0,10%,9.0,90%
77,Dontayvion Wicks,WR,GB,9,4.6,2.2,48%,2.4,52%
78,Marvin Mims Jr.,WR,DEN,9,5.7,2.0,35%,3.7,65%
79,Isaiah Bond,WR,CLV,10,3.1,1.8,58%,1.3,42%
80,Mike Evans,WR,TB,4,8.5,1.5,17%,7.0,83%
81,Matthew Golden,WR,GB,9,5.8,2.6,45%,3.2,55%
82,Greg Dortch,WR,ARZ,11,5.8,4.4,75%,1.5,25%
83,JuJu Smith-Schuster,WR,KC,11,5.6,3.6,63%,2.1,37%
84,Cedric Tillman,WR,CLV,7,6.6,3.3,49%,3.4,51%
85,Malik Nabers,WR,NYG,4,14.3,2.8,19%,11.5,81%
86,Tyquan Thornton,WR,KC,11,6.4,3.0,47%,3.4,53%
87,Tyreek Hill,WR,MIA,4,13.4,2.2,16%,11.2,84%
88,Joshua Palmer,WR,BUF,8,5.7,1.0,18%,4.7,82%
89,Jaylin Lane,WR,WAS,11,3.5,1.6,45%,1.9,55%
90,Adonai Mitchell,WR,NYJ,10,3.2,0.4,12%,2.8,88%
91,Luther Burden III,WR,CHI,10,5.8,2.3,40%,3.4,60%
92,Rashod Bateman,WR,BLT,9,5.3,0.5,10%,4.8,90%
93,Jaylin Noel,WR,HST,11,4.3,3.5,80%,0.8,20%
94,Jalen Tolbert,WR,DAL,10,3.7,0.9,24%,2.8,76%
95,Brandin Cooks,WR,NO,10,3.6,1.2,35%,2.3,65%
96,KaVontae Turpin,WR,DAL,9,5.1,2.8,54%,2.4,46%
97,Christian Watson,WR,GB,5,11.5,4.8,42%,6.6,58%
98,DeAndre Hopkins,WR,BLT,11,4.6,0.4,8%,4.2,92%
99,Hunter Renfrow,WR,CAR,6,6.0,4.7,79%,1.3,21%
100,Dont’e Thornton Jr.,WR,LV,9,2.0,0.0,0%,2.0,100%
101,Ryan Flournoy,WR,DAL,10,4.9,2.8,57%,2.1,43%
102,Demarcus Robinson,WR,SF,9,3.3,0.9,28%,2.3,72%
103,Tory Horton,WR,SEA,8,7.4,1.9,26%,5.5,74%
104,Terry McLaurin,WR,WAS,4,9.8,0.4,4%,9.5,96%
105,Pat Bryant,WR,DEN,11,4.0,1.7,42%,2.3,58%
106,Josh Reynolds,WR,NYJ,5,4.2,0.8,18%,3.4,82%
107,Tre Harris,WR,LAC,11,3.2,0.8,24%,2.5,76%
108,Jordan Whittington,WR,LA,11,2.8,1.8,64%,1.0,36%
109,Chris Moore,WR,WAS,10,3.5,0.9,26%,2.6,74%
110,Jalen Coker,WR,CAR,6,4.8,2.6,53%,2.3,47%
111,Roman Wilson,WR,PIT,11,3.7,0.2,7%,3.4,93%
112,Kalif Raymond,WR,DET,10,3.0,1.7,55%,1.4,45%
113,Chris Godwin,WR,TB,3,4.7,3.8,82%,0.9,18%
114,Nick Westbrook-Ikhine,WR,MIA,11,1.8,0.4,25%,1.4,75%
115,Tyrell Shavers,WR,BUF,11,3.1,1.3,42%,1.8,58%
116,Elijah Moore,WR,BUF,9,2.2,1.2,54%,1.0,46%
117,Devaughn Vele,WR,NO,10,2.4,1.7,68%,0.8,32%
118,Adam Thielen,WR,MIN,11,1.4,0.4,30%,0.9,70%
119,Zay Jones,WR,ARZ,8,3.8,0.5,14%,3.3,86%
120,Jahan Dotson,WR,PHI,11,3.2,0.4,14%,2.8,86%
121,John Metchie III,WR,NYJ,9,4.3,2.6,60%,1.7,40%
122,Luke McCaffrey,WR,WAS,7,7.0,2.2,31%,4.8,69%
123,Brycen Tremayne,WR,CAR,11,2.3,0.8,33%,1.5,67%
124,Tim Patrick,WR,JAX,9,3.0,0.5,16%,2.5,84%
125,Jamari Thrash,WR,CLV,9,2.3,1.4,62%,0.9,38%
126,Ray-Ray McCloud III,WR,NYG,6,2.3,2.3,98%,0.1,2%
127,Tyler Johnson,WR,NYJ,9,3.9,1.4,37%,2.4,63%
128,Allen Lazard,WR,NYJ,7,2.8,1.3,47%,1.5,53%
129,Jalin Hyatt,WR,NYG,6,1.4,0.2,16%,1.2,84%
130,Casey Washington,WR,ATL,6,2.6,1.8,71%,0.7,29%
131,Mitchell Tinsley,WR,CIN,11,2.3,0.2,9%,2.1,91%
132,Kyle Williams,WR,NE,12,1.8,0.0,0%,1.8,100%
133,Jack Bech,WR,LV,10,1.7,0.9,50%,0.9,50%
134,David Sills V,WR,ATL,11,1.5,0.5,31%,1.1,69%
135,Isaiah Hodgins,WR,NYG,2,11.5,4.1,36%,7.4,64%
136,Savion Williams,WR,GB,11,2.2,1.8,84%,0.3,16%
137,Arian Smith,WR,NYJ,11,1.0,0.3,30%,0.7,70%
138,KhaDarel Hodge,WR,ATL,6,1.0,0.3,28%,0.7,72%
139,Tutu Atwell,WR,LA,6,4.4,4.2,95%,0.2,5%
140,Xavier Smith,WR,LA,8,1.9,1.5,79%,0.4,21%
141,Curtis Samuel,WR,BUF,6,3.5,0.5,15%,3.0,85%
142,Robbie Chosen,WR,WAS,3,3.4,0.5,15%,2.9,85%
143,Jimmy Horn Jr.,WR,CAR,8,1.8,1.3,71%,0.5,29%
144,Tylan Wallace,WR,BLT,9,1.6,0.2,14%,1.4,86%
145,Braxton Berrios,WR,HST,2,4.9,2.8,58%,2.1,42%
146,Lil’Jordan Humphrey,WR,DEN,4,2.4,0.0,0%,2.4,100%
147,Ashton Dulin,WR,IND,9,1.7,0.0,0%,1.7,100%
148,Marquez Valdes-Scantling,WR,SF,5,1.6,0.6,40%,1.0,60%
149,Isaac TeSlaa,WR,DET,11,2.0,0.0,0%,2.0,100%
150,Noah Brown,WR,WAS,2,3.3,0.0,0%,3.3,100%
151,Isaiah Williams,WR,NYJ,5,1.7,1.2,69%,0.5,31%
152,Xavier Weaver,WR,ARZ,5,1.1,0.4,35%,0.7,65%
153,Skyy Moore,WR,SF,10,1.0,0.5,43%,0.6,57%
154,Gabe Davis,WR,BUF,2,5.1,1.1,21%,4.1,79%
155,D’Wayne Eskridge,WR,MIA,8,1.3,0.5,36%,0.8,64%
156,Beaux Collins,WR,NYG,7,0.6,0.4,62%,0.2,38%
157,Konata Mumpfield,WR,LA,10,1.4,0.0,0%,1.4,100%
158,Austin Trammell,WR,JAX,4,1.9,1.9,0%,0.0,0%
159,Mason Tipton,WR,NO,8,0.7,0.0,0%,0.7,100%
160,Malik Heath,WR,GB,10,1.5,0.4,26%,1.1,74%
161,Kameron Johnson,WR,TB,9,1.8,1.7,94%,0.1,6%
162,Malachi Corley,WR,CLV,7,1.2,0.4,32%,0.8,68%
163,Xavier Restrepo,WR,TEN,1,4.6,4.6,100%,0.0,0%
164,Gage Larvadain,WR,CLV,7,0.6,0.3,57%,0.3,43%
165,Jayden Reed,WR,GB,2,6.8,6.8,100%,0.0,0%
166,Justin Watson,WR,HST,2,3.0,3.0,100%,0.0,0%
167,Devontez Walker,WR,BLT,5,5.0,0.0,0%,5.0,100%
168,Bo Melton,WR,GB,4,1.2,0.5,42%,0.7,58%
169,Ryan Miller,WR,TB,11,1.0,0.2,21%,0.8,79%
170,Trent Sherfield,WR,DEN,10,0.5,0.3,51%,0.3,49%
171,KeAndre Lambert-Smith,WR,LAC,6,0.2,0.0,0%,0.2,100%
172,Ben Skowronek,WR,PIT,11,1.3,1.1,84%,0.2,16%
173,Treylon Burks,WR,WAS,2,5.6,0.0,0%,5.6,100%
174,Jordan Watkins,WR,SF,3,1.5,0.6,37%,1.0,63%
175,Mason Kinsey,WR,TEN,5,0.5,0.5,100%,0.0,0%
176,Gunner Olszewski,WR,NYG,6,1.6,1.6,100%,0.0,0%
177,Dylan Drummond,WR,ATL,3,1.6,0.6,40%,1.0,60%
178,Devin Duvernay,WR,CHI,2,0.6,0.6,100%,0.0,0%
179,James Proche II,WR,TEN,3,2.4,1.1,46%,1.3,54%
180,Derius Davis,WR,LAC,8,0.2,0.0,0%,0.2,100%
181,Cedrick Wilson Jr.,WR,MIA,4,0.7,0.0,0%,0.7,100%
182,Jared Wayne,WR,HST,1,4.0,0.0,0%,4.0,100%
183,Cody White,WR,SEA,5,2.6,0.0,0%,2.6,100%
184,Darius Cooper,WR,PHI,7,0.4,0.4,100%,0.0,0%
185,Tahj Washington,WR,MIA,4,0.5,0.0,0%,0.5,100%
186,Tay Martin,WR,WAS,3,1.4,0.0,0%,1.4,100%
187,Xavier Gipson,WR,PHI,3,0.9,0.9,100%,0.0,0%
188,Jake Bobo,WR,SEA,7,0.6,0.6,100%,0.0,0%
189,Alex Bachman,WR,LV,6,0.3,0.3,100%,0.0,0%
190,Dareke Young,WR,SEA,4,1.7,0.0,0%,1.7,100%
191,Scott Miller,WR,PIT,7,0.3,0.0,0%,0.3,100%
192,David Moore,WR,CAR,3,0.5,0.0,0%,0.5,100%
193,Tim Jones,WR,JAX,4,0.6,0.0,0%,0.6,100%
194,Anthony Gould,WR,IND,3,0.4,0.4,100%,0.0,0%
195,Michael Bandy,WR,DEN,2,1.3,1.3,100%,0.0,0%
196,Bryce Oliver,WR,TEN,2,0.9,0.0,0%,0.9,100%
197,Nikko Remigio,WR,KC,4,0.8,0.0,0%,0.8,100%
198,Tai Felton,WR,MIN,2,1.0,0.0,0%,1.0,100%
199,Dante Pettis,WR,NO,1,2.4,0.0,0%,2.4,100%
200,Andre Baccellia,WR,ARZ,2,0.8,0.0,0%,0.8,100%
201,Jacoby Jones,WR,WAS,1,3.5,0.0,0%,3.5,100%
