#,Defense,Total PPG Allowed,Slot PPG Allowed,Wide PPG Allowed,Slot%,Wide%,Next Opp
1,ARZ,32.8,13.6,19.3,42%,58%,GB
2,ATL,27.3,6.1,21.2,29%,71%,SF
3,BLT,37.9,17.8,20.1,46%,54%,BYE
4,BUF,30.0,8.7,21.3,31%,69%,BYE
5,CAR,26.2,8.3,17.9,35%,65%,NYJ
6,CHI,34.4,16.4,18.0,53%,47%,NO
7,CIN,32.0,12.6,19.5,38%,62%,PIT
8,CLV,33.7,8.7,25.1,25%,75%,MIA
9,DAL,41.6,13.5,28.1,35%,65%,WAS
10,DEN,24.8,9.1,15.7,36%,64%,NYG
11,DET,36.0,12.7,23.4,34%,66%,TB
12,GB,33.1,9.0,24.1,27%,73%,ARZ
13,HST,28.6,8.8,19.8,24%,76%,SEA
14,IND,37.2,14.3,23.0,38%,62%,LAC
15,JAX,35.6,6.5,29.1,17%,83%,LA
16,KC,30.1,10.7,19.3,35%,65%,LV
17,LA,32.9,10.1,22.7,30%,70%,JAX
18,LAC,27.7,9.5,18.2,35%,65%,IND
19,LV,35.7,9.9,25.8,25%,75%,KC
20,MIA,29.9,8.4,21.5,27%,73%,CLV
21,MIN,19.5,8.1,11.4,43%,57%,PHI
22,NE,33.6,9.6,24.0,30%,70%,TEN
23,NO,33.0,7.0,26.0,23%,77%,CHI
24,NYG,37.0,15.5,21.5,41%,59%,DEN
25,NYJ,28.3,10.0,18.3,37%,63%,CAR
26,PHI,33.4,8.6,24.7,25%,75%,MIN
27,PIT,33.2,10.0,23.3,30%,70%,CIN
28,SEA,33.0,11.4,21.6,39%,61%,HST
29,SF,31.6,17.0,14.6,51%,49%,ATL
30,TB,32.0,9.2,22.8,32%,68%,DET
31,TEN,31.2,9.8,21.5,29%,71%,NE
32,WAS,34.3,15.7,18.6,52%,48%,DAL
33,NFL Average,32.1,10.8,21.3,34%,66%,
