#,Player,Pos,Team,Games,Total Points,Slot PPG,Slot%,Wide PPG,Wide%
63,Dyami Brown,WR,JAX,5,6.9,1.2,17%,5.7,83%
64,Xavier Worthy,WR,KC,4,8.4,4.6,55%,3.8,45%
65,Michael Wilson,WR,ARZ,6,4.6,2.9,62%,1.7,38%
66,Jauan Jennings,WR,SF,4,7.4,1.7,23%,5.7,77%
67,Joshua Palmer,WR,BUF,6,6.2,1.0,15%,5.3,85%
68,Cedric Tillman,WR,CLV,4,8.4,4.1,48%,4.4,52%
69,Jalen Tolbert,WR,DAL,6,3.7,1.1,29%,2.6,71%
70,Rashod Bateman,WR,BLT,6,4.8,0.0,0%,4.8,100%
71,Jalen Nailor,WR,MIN,5,5.9,3.8,65%,2.1,35%
72,Matthew Golden,WR,GB,5,7.0,3.3,47%,3.7,53%
73,Dontayvion Wicks,WR,GB,5,5.0,2.5,51%,2.5,49%
74,Tyler Lockett,WR,TEN,6,2.2,1.4,62%,0.8,38%
75,Terry McLaurin,WR,WAS,3,8.3,0.5,6%,7.8,94%
76,Chimere Dike,WR,TEN,6,1.9,1.3,68%,0.6,32%
77,Alec Pierce,WR,IND,4,8.2,0.8,10%,7.4,90%
78,Demario Douglas,WR,NE,6,5.4,2.6,48%,2.8,52%
79,Darius Slayton,WR,NYG,5,5.7,0.0,0%,5.7,100%
80,Xavier Legette,WR,CAR,4,4.8,0.5,11%,4.2,89%
81,Brandin Cooks,WR,NO,6,4.2,1.2,28%,3.1,72%
82,Andrei Iosivas,WR,CIN,6,3.4,1.0,31%,2.3,69%
83,Ryan Flournoy,WR,DAL,5,6.2,3.7,60%,2.5,40%
84,Christian Kirk,WR,HST,3,7.0,4.6,66%,2.4,34%
85,Dont’e Thornton Jr.,WR,LV,5,2.9,0.0,0%,2.9,100%
86,Calvin Austin III,WR,PIT,4,9.0,4.2,46%,4.8,54%
87,Darnell Mooney,WR,ATL,3,5.0,2.4,48%,2.6,52%
88,Tory Horton,WR,SEA,6,6.4,0.4,5%,6.0,95%
89,Greg Dortch,WR,ARZ,6,4.3,2.5,59%,1.8,41%
90,Chris Godwin,WR,TB,2,5.6,5.0,89%,0.6,11%
91,Jaylin Lane,WR,WAS,6,2.5,0.4,16%,2.1,84%
92,Xavier Hutchinson,WR,HST,5,7.0,3.8,54%,3.2,46%
93,Jordan Addison,WR,MIN,2,15.3,0.7,5%,14.6,95%
94,DeAndre Hopkins,WR,BLT,6,6.5,0.4,6%,6.1,94%
95,KaVontae Turpin,WR,DAL,4,8.2,5.2,63%,3.1,37%
96,Zay Jones,WR,ARZ,5,4.3,0.8,19%,3.5,81%
97,Jordan Whittington,WR,LA,6,3.5,2.5,70%,1.1,30%
98,Josh Reynolds,WR,NYJ,4,3.8,1.0,26%,2.8,74%
99,Mack Hollins,WR,NE,6,4.7,0.7,14%,4.0,86%
100,Adonai Mitchell,WR,IND,5,4.1,0.4,11%,3.7,89%
101,Ray-Ray McCloud III,WR,ATL,4,3.1,3.0,98%,0.1,2%
102,Luther Burden III,WR,CHI,5,6.4,1.9,29%,4.5,71%
103,Chris Moore,WR,WAS,5,4.5,1.8,41%,2.7,59%
104,Demarcus Robinson,WR,SF,3,5.4,0.0,0%,5.4,100%
105,Jahan Dotson,WR,PHI,6,3.0,0.8,27%,2.2,73%
106,Brycen Tremayne,WR,CAR,6,3.3,0.8,25%,2.5,75%
107,Casey Washington,WR,ATL,3,3.1,2.5,82%,0.6,18%
108,Tre Harris,WR,LAC,6,2.4,0.3,14%,2.0,86%
109,Tyrell Shavers,WR,BUF,6,1.7,0.0,0%,1.7,100%
110,Van Jefferson,WR,TEN,6,3.0,0.3,10%,2.7,90%
111,Jayden Higgins,WR,HST,5,5.4,2.3,42%,3.2,58%
112,Luke McCaffrey,WR,WAS,5,8.8,2.7,31%,6.1,69%
113,Tez Johnson,WR,TB,5,4.6,3.7,80%,0.9,20%
114,Kalif Raymond,WR,DET,5,2.1,1.0,49%,1.1,51%
115,Tutu Atwell,WR,LA,5,5.3,5.0,95%,0.3,5%
116,Jalin Hyatt,WR,NYG,4,1.2,0.0,0%,1.2,100%
117,Adam Thielen,WR,MIN,5,1.5,0.6,38%,1.0,62%
118,Marquez Valdes-Scantling,WR,SF,5,1.6,0.6,40%,1.0,60%
119,Jamari Thrash,WR,CLV,6,2.1,1.3,62%,0.8,38%
120,Elijah Moore,WR,BUF,5,2.1,0.8,39%,1.3,61%
121,Jack Bech,WR,LV,6,1.8,0.7,37%,1.2,63%
122,Noah Brown,WR,WAS,2,3.3,0.0,0%,3.3,100%
123,Lil’Jordan Humphrey,WR,NYG,1,9.5,0.0,0%,9.5,100%
124,Jaylin Noel,WR,HST,5,2.6,1.9,70%,0.8,30%
125,Ashton Dulin,WR,IND,5,1.9,0.0,0%,1.9,100%
126,Allen Lazard,WR,NYJ,4,3.1,1.9,60%,1.3,40%
127,Tyler Johnson,WR,NYJ,5,2.1,0.0,0%,2.1,100%
128,Arian Smith,WR,NYJ,6,1.1,0.4,34%,0.7,66%
129,Nick Westbrook-Ikhine,WR,MIA,6,1.1,0.3,26%,0.8,74%
130,Tylan Wallace,WR,BLT,6,2.2,0.3,16%,1.8,84%
131,Tim Patrick,WR,JAX,5,2.6,0.5,20%,2.1,80%
132,Pat Bryant,WR,DEN,6,1.3,0.4,26%,1.0,74%
133,Isaac TeSlaa,WR,DET,6,3.4,0.0,0%,3.4,100%
134,Devaughn Vele,WR,NO,5,2.6,1.5,57%,1.1,43%
135,Jayden Reed,WR,GB,2,6.8,6.8,100%,0.0,0%
136,Justin Watson,WR,HST,2,3.0,3.0,100%,0.0,0%
137,John Metchie III,WR,PHI,5,1.2,0.8,71%,0.3,29%
138,Trent Sherfield,WR,DEN,6,0.9,0.4,51%,0.4,49%
139,Savion Williams,WR,GB,5,1.3,0.5,40%,0.8,60%
140,Mitchell Tinsley,WR,CIN,6,1.7,0.0,0%,1.7,100%
141,Kyle Williams,WR,NE,6,0.7,0.0,0%,0.7,100%
142,Kameron Johnson,WR,TB,5,3.3,3.1,94%,0.2,6%
143,Jimmy Horn Jr.,WR,CAR,2,4.9,4.2,86%,0.7,14%
144,Curtis Samuel,WR,BUF,2,6.3,0.0,0%,6.3,100%
145,D’Wayne Eskridge,WR,MIA,6,0.6,0.6,100%,0.0,0%
146,Roman Wilson,WR,PIT,5,0.8,0.0,0%,0.8,100%
147,Gage Larvadain,WR,CLV,2,2.1,1.2,57%,0.9,43%
148,Ryan Miller,WR,TB,6,1.5,0.0,0%,1.5,100%
149,KeAndre Lambert-Smith,WR,LAC,5,0.2,0.0,0%,0.2,100%
150,Devontez Walker,WR,BLT,3,7.0,0.0,0%,7.0,100%
151,Beaux Collins,WR,NYG,5,0.3,0.0,0%,0.3,100%
152,Malik Heath,WR,GB,5,1.3,0.0,0%,1.3,100%
153,Alex Bachman,WR,LV,4,0.5,0.5,100%,0.0,0%
154,Skyy Moore,WR,SF,5,0.4,0.4,100%,0.0,0%
155,Konata Mumpfield,WR,LA,5,0.3,0.0,0%,0.3,100%
156,Tay Martin,WR,WAS,3,1.4,0.0,0%,1.4,100%
157,David Sills V,WR,ATL,5,0.4,0.4,100%,0.0,0%
158,Ben Skowronek,WR,PIT,5,1.8,1.8,100%,0.0,0%
159,Dareke Young,WR,SEA,4,1.7,0.0,0%,1.7,100%
160,Jake Bobo,WR,SEA,5,0.5,0.5,100%,0.0,0%
161,Tai Felton,WR,MIN,1,1.9,0.0,0%,1.9,100%
162,David Moore,WR,CAR,3,0.5,0.0,0%,0.5,100%
163,Bryce Oliver,WR,TEN,2,0.9,0.0,0%,0.9,100%
164,Nikko Remigio,WR,KC,4,0.8,0.0,0%,0.8,100%
165,Xavier Smith,WR,LA,4,1.2,1.2,100%,0.0,0%
