#,Player,Pos,Team,Games,Total Points,Slot PPG,Slot%,Wide PPG,Wide%
1,Puka Nacua,WR,LA,6,21.3,7.7,36%,13.5,64%
2,Chris Olave,WR,NO,6,13.2,4.4,33%,8.9,67%
3,Ja’Marr Chase,WR,CIN,6,18.8,5.3,28%,13.5,72%
4,Jaxon Smith-Njigba,WR,SEA,6,21.6,2.7,13%,18.9,87%
5,Davante Adams,WR,LA,6,13.9,1.8,13%,12.2,87%
6,Garrett Wilson,WR,NYJ,6,16.6,6.8,41%,9.8,59%
7,Keenan Allen,WR,LAC,6,13.8,6.8,49%,7.0,51%
8,Amon-Ra St. Brown,WR,DET,6,20.9,12.4,59%,8.5,41%
9,Drake London,WR,ATL,5,17.7,7.9,45%,9.8,55%
10,George Pickens,WR,DAL,6,20.1,2.2,11%,17.9,89%
11,Tetairoa McMillan,WR,CAR,6,12.8,4.1,32%,8.7,68%
12,Brian Thomas Jr.,WR,JAX,6,10.6,0.5,5%,10.1,95%
13,Zay Flowers,WR,BLT,6,13.7,4.5,33%,9.2,67%
14,Jerry Jeudy,WR,CLV,6,7.3,2.6,35%,4.7,65%
15,A.J. Brown,WR,PHI,6,9.7,0.6,6%,9.2,94%
16,Emeka Egbuka,WR,TB,6,17.3,3.0,17%,14.3,83%
17,Marquise Brown,WR,KC,6,13.0,5.3,40%,7.8,60%
18,Jakobi Meyers,WR,LV,6,10.3,6.4,62%,3.9,38%
19,Justin Jefferson,WR,MIN,5,16.0,5.7,36%,10.3,64%
20,Deebo Samuel,WR,WAS,6,13.9,5.5,40%,8.4,60%
21,Ladd McConkey,WR,LAC,6,11.9,6.6,55%,5.3,45%
22,Wan’Dale Robinson,WR,NYG,6,12.7,10.3,81%,2.4,19%
23,Courtland Sutton,WR,DEN,6,13.9,5.0,36%,8.9,64%
24,Quentin Johnston,WR,LAC,5,17.5,4.2,24%,13.4,76%
25,Jaylen Waddle,WR,MIA,6,14.3,1.8,12%,12.6,88%
26,Rome Odunze,WR,CHI,5,17.0,2.2,13%,14.8,87%
27,Michael Pittman Jr.,WR,IND,6,13.6,1.5,11%,12.1,89%
28,Stefon Diggs,WR,NE,6,11.8,3.8,32%,8.0,68%
29,Keon Coleman,WR,BUF,6,10.0,1.7,17%,8.2,83%
30,Tee Higgins,WR,CIN,6,8.7,1.7,20%,6.9,80%
31,DeVonta Smith,WR,PHI,6,11.2,8.6,77%,2.6,23%
32,Rashid Shaheed,WR,NO,6,11.6,7.1,61%,4.5,39%
33,Nico Collins,WR,HST,5,14.2,2.3,16%,11.9,84%
34,Calvin Ridley,WR,TEN,6,7.5,1.5,20%,6.0,80%
35,Troy Franklin,WR,DEN,6,9.2,6.0,65%,3.2,35%
36,Marvin Harrison Jr.,WR,ARZ,6,11.3,2.9,26%,8.4,74%
37,Tre Tucker,WR,LV,6,13.9,1.8,13%,12.2,87%
38,Josh Downs,WR,IND,6,9.0,7.2,80%,1.8,20%
39,D.K. Metcalf,WR,PIT,5,15.7,2.6,16%,13.1,84%
40,Elic Ayomanor,WR,TEN,6,8.1,0.7,9%,7.4,91%
41,Kendrick Bourne,WR,SF,5,12.0,2.9,24%,9.1,76%
42,Khalil Shakir,WR,BUF,6,10.6,5.4,50%,5.3,50%
43,Travis Hunter,WR,JAX,6,6.6,3.7,56%,2.9,44%
44,Malik Nabers,WR,NYG,4,14.3,2.8,19%,11.5,81%
45,Tyreek Hill,WR,MIA,4,13.4,2.2,16%,11.2,84%
46,Cooper Kupp,WR,SEA,6,9.2,4.8,52%,4.4,48%
47,Romeo Doubs,WR,GB,5,13.1,0.7,5%,12.4,95%
48,Ricky Pearsall,WR,SF,4,13.2,4.4,33%,8.8,67%
49,Mike Evans,WR,TB,3,11.3,2.0,17%,9.4,83%
50,Sterling Shepard,WR,TB,6,8.2,3.0,36%,5.2,64%
51,Jameson Williams,WR,DET,6,9.7,3.1,32%,6.6,68%
52,Olamide Zaccheaus,WR,CHI,5,6.1,5.0,83%,1.1,17%
53,DJ Moore,WR,CHI,5,9.3,1.6,18%,7.7,82%
54,Isaiah Bond,WR,CLV,6,3.9,2.0,51%,1.9,49%
55,Malik Washington,WR,MIA,6,3.8,2.0,52%,1.8,48%
56,Marvin Mims Jr.,WR,DEN,6,6.2,1.6,26%,4.6,74%
57,Hunter Renfrow,WR,CAR,6,6.0,4.7,79%,1.3,21%
58,Tyquan Thornton,WR,KC,6,9.7,3.5,36%,6.2,64%
59,CeeDee Lamb,WR,DAL,3,12.7,3.1,24%,9.7,76%
60,Parker Washington,WR,JAX,6,5.8,3.1,53%,2.7,47%
61,Kayshon Boutte,WR,NE,6,11.0,1.7,15%,9.4,85%
62,JuJu Smith-Schuster,WR,KC,6,7.9,4.4,56%,3.5,44%
