RK,NAME,TEAM,POS,WK,OPP,TGTS,REC,CATCH%,YDS,TD,LONG,YDS/TGT,YDS/REC,ATT,YDS,AVG,TD,FUM,LOST,FPTS
54,DeMario Douglas,NE,WR,10,TB,2,2,100,34,0,26,17,17,1,0,0,0,0,0,5.4
55,Pat Bryant,DEN,WR,10,LV,2,1,50,43,0,43,21.5,43,0,0,,0,0,0,5.3
56,Austin Trammell,JAX,WR,10,HOU,3,2,66.7,33,0,18,11,16.5,0,0,,0,0,0,5.3
57,Jalen Coker,CAR,WR,10,NO,4,3,75,21,0,10,5.2,7,0,0,,0,0,0,5.1
58,Jaylin Lane,WAS,WR,10,DET,1,1,100,41,0,41,41,41,0,0,,0,0,0,5.1
59,Rashod Bateman,BAL,WR,10,MIN,2,1,50,10,0,10,5,10,0,0,,0,0,0,4
60,Michael Pittman Jr.,IND,WR,10,ATL,2,2,100,19,0,10,9.5,9.5,0,0,,0,0,0,3.9
61,Keenan Allen,LAC,WR,10,PIT,5,2,40,19,0,12,3.8,9.5,0,0,,0,0,0,3.9
62,DeAndre Hopkins,BAL,WR,10,MIN,3,2,66.7,16,0,9,5.3,8,0,0,,0,0,0,3.6
63,Adam Thielen,MIN,WR,10,BAL,3,2,66.7,16,0,9,5.3,8,0,0,,0,0,0,3.6
64,Tyrell Shavers,BUF,WR,10,MIA,1,1,100,24,0,24,24,24,0,0,,0,0,0,3.4
65,Calvin Austin III,PIT,WR,10,LAC,7,2,28.6,14,0,8,2,7,0,0,,0,0,0,3.4
66,A.J. Brown,PHI,WR,10,GB,3,2,66.7,13,0,7,4.3,6.5,0,0,,0,0,0,3.3
67,Rashid Shaheed,SEA,WR,10,ARI,1,1,100,3,0,3,3,3,2,20,10,0,1,0,3.3
68,Malachi Corley,CLE,WR,10,NYJ,1,0,0,0,0,0,0,,2,32,16,0,0,0,3.2
69,Curtis Samuel,BUF,WR,10,MIA,1,1,100,21,0,21,21,21,0,0,,0,0,0,3.1
70,Cedric Tillman,CLE,WR,10,NYJ,4,2,50,11,0,9,2.8,5.5,0,0,,0,0,0,3.1
71,Kendrick Bourne,SF,WR,10,LAR,1,1,100,19,0,19,19,19,0,0,,0,0,0,2.9
72,Elijah Moore,BUF,WR,10,MIA,2,2,100,9,0,5,4.5,4.5,1,-1,-1,0,0,0,2.8
73,Skyy Moore,SF,WR,10,LAR,1,1,100,18,0,18,18,18,0,0,,0,0,0,2.8
74,Darnell Mooney,ATL,WR,10,IND,8,1,12.5,17,0,17,2.1,17,0,0,,0,0,0,2.7
75,Robbie Chosen,WAS,WR,10,DET,4,1,25,17,0,17,4.2,17,0,0,,0,0,0,2.7
76,Devaughn Vele,NO,WR,10,CAR,3,1,33.3,15,0,15,5,15,0,0,,0,0,0,2.5
77,Tre' Harris,LAC,WR,10,PIT,2,2,100,4,0,5,2,2,0,0,,0,0,0,2.4
78,Xavier Smith,LAR,WR,10,SF,1,1,100,14,0,14,14,14,0,0,,0,0,0,2.4
79,Savion Williams,GB,WR,10,PHI,2,2,100,2,0,2,1,1,0,0,,0,0,0,2.2
80,Ashton Dulin,IND,WR,10,ATL,0,0,,0,0,0,,,1,22,22,0,0,0,2.2
81,Isaac TeSlaa,DET,WR,10,WAS,1,1,100,11,0,11,11,11,0,0,,0,0,0,2.1
82,Nick Westbrook-Ikhine,MIA,WR,10,BUF,1,1,100,7,0,7,7,7,0,0,,0,0,0,1.7
83,Olamide Zaccheaus,CHI,WR,10,NYG,4,1,25,5,0,5,1.2,5,0,0,,0,0,0,1.5
84,Romeo Doubs,GB,WR,10,PHI,4,1,25,5,0,5,1.2,5,0,0,,0,0,0,1.5
85,Dont'e Thornton Jr.,LV,WR,10,DEN,2,1,50,4,0,4,2,4,0,0,,0,0,0,1.4
86,Isaiah Williams,NYJ,WR,10,CLE,1,1,100,4,0,4,4,4,0,0,,0,0,0,1.4
87,Derius Davis,LAC,WR,10,PIT,1,1,100,3,0,3,3,3,0,0,,0,0,0,1.3
88,Josh Downs,IND,WR,10,ATL,2,1,50,3,0,3,1.5,3,0,0,,0,0,0,1.3
89,Arian Smith,NYJ,WR,10,CLE,0,0,,0,0,0,,,1,13,13,0,0,0,1.3
90,Christian Kirk,HOU,WR,10,JAX,3,1,33.3,3,0,3,1,3,0,0,,0,0,0,1.3
91,Kameron Johnson,TB,WR,10,NE,1,0,0,0,0,0,0,,1,11,11,0,0,0,1.1
92,John Metchie III,NYJ,WR,10,CLE,1,1,100,3,0,3,3,3,1,-7,-7,0,0,0,0.6
93,Jahan Dotson,PHI,WR,10,GB,1,0,0,0,0,0,0,,0,0,,0,0,0,0
94,Casey Washington,ATL,WR,10,IND,0,0,,0,0,0,,,0,0,,0,0,0,0
95,KhaDarel Hodge,ATL,WR,10,IND,0,0,,0,0,0,,,0,0,,0,0,0,0
96,Xavier Gipson,PHI,WR,10,GB,0,0,,0,0,0,,,0,0,,0,0,0,0
97,Jamal Agnew,ATL,WR,10,IND,0,0,,0,0,0,,,0,0,,0,0,0,0
98,Laquon Treadwell,IND,WR,10,ATL,0,0,,0,0,0,,,0,0,,0,0,0,0
99,Malik Heath,GB,WR,10,PHI,0,0,,0,0,0,,,0,0,,0,0,0,0
