RK,NAME,TEAM,POS,WK,OPP,TGTS,REC,CATCH%,YDS,TD,LONG,YDS/TGT,YDS/REC,ATT,YDS,AVG,TD,FUM,LOST,FPTS
1,Michael Wilson,ARI,WR,11,SF,18,15,83.3,185,0,34,10.3,12.3,0,0,,0,0,0,33.5
2,Tetairoa McMillan,CAR,WR,11,ATL,12,8,66.7,130,2,39,10.8,16.2,0,0,,0,0,0,33
3,George Pickens,DAL,WR,11,LV,11,9,81.8,144,1,37,13.1,16,0,0,,0,0,0,29.4
4,Nico Collins,HOU,WR,11,TEN,10,9,90,92,1,18,9.2,10.2,0,0,,0,0,0,24.2
5,Deebo Samuel Sr.,WAS,WR,11,MIA,8,7,87.5,74,1,28,9.2,10.6,1,3,3,0,0,0,20.7
6,Christian Watson,GB,WR,11,NYG,5,4,80,46,2,17,9.2,11.5,0,0,,0,0,0,20.6
7,Jaxon Smith-Njigba,SEA,WR,11,LAR,12,9,75,105,0,28,8.8,11.7,1,11,11,0,0,0,20.6
8,Jameson Williams,DET,WR,11,PHI,7,4,57.1,88,1,40,12.6,22,1,9,9,0,0,0,19.7
9,Stefon Diggs,NE,WR,11,NYJ,11,9,81.8,105,0,22,9.5,11.7,0,0,,0,0,0,19.5
10,Tyrell Shavers,BUF,WR,11,TB,5,4,80,90,1,43,18,22.5,0,0,,0,0,0,19
11,Drake London,ATL,WR,11,CAR,9,7,77.8,119,0,41,13.2,17,0,0,,0,0,0,18.9
12,Greg Dortch,ARI,WR,11,SF,6,6,100,66,1,17,11,11,0,0,,0,0,0,18.6
13,Xavier Legette,CAR,WR,11,ATL,8,4,50,83,1,36,10.4,20.8,0,0,,0,0,0,18.3
14,CeeDee Lamb,DAL,WR,11,LV,7,5,71.4,66,1,23,9.4,13.2,0,0,,0,0,0,17.6
15,Tee Higgins,CIN,WR,11,PIT,8,3,37.5,63,1,28,7.9,21,0,0,,0,0,0,15.3
16,Tre Tucker,LV,WR,11,DAL,8,4,50,47,1,26,5.9,11.8,0,0,,0,0,0,14.7
17,Puka Nacua,LAR,WR,11,SEA,8,7,87.5,75,0,19,9.4,10.7,2,18,9,0,1,1,14.3
18,John Metchie III,NYJ,WR,11,NE,3,3,100,45,1,22,15,15,0,0,,0,0,0,13.5
19,Pat Bryant,DEN,WR,11,KC,6,5,83.3,82,0,48,13.7,16.4,0,0,,0,0,0,13.2
20,Troy Franklin,DEN,WR,11,KC,8,4,50,84,0,35,10.5,21,0,0,,0,0,0,12.4
21,A.J. Brown,PHI,WR,11,DET,11,7,63.6,49,0,12,4.5,7,0,0,,0,0,0,11.9
22,Jakobi Meyers,JAX,WR,11,LAC,6,5,83.3,64,0,21,10.7,12.8,0,0,,0,0,0,11.4
23,Zay Flowers,BAL,WR,11,CLE,5,3,60,78,0,45,15.6,26,1,5,5,0,0,0,11.3
24,Jalen Coker,CAR,WR,11,ATL,4,4,100,52,0,21,13,13,0,0,,0,0,0,11.2
25,Van Jefferson,TEN,WR,11,HOU,7,3,42.9,22,1,11,3.1,7.3,0,0,,0,0,0,11.2
26,Justin Jefferson,MIN,WR,11,CHI,9,5,55.6,61,0,27,6.8,12.2,0,0,,0,0,0,11.1
27,Tim Patrick,JAX,WR,11,LAC,4,3,75,20,1,10,5,6.7,0,0,,0,0,0,11
28,Isaiah Hodgins,NYG,WR,11,GB,6,5,83.3,57,0,20,9.5,11.4,0,0,,0,0,0,10.7
29,Mack Hollins,NE,WR,11,NYJ,5,4,80,64,0,20,12.8,16,0,0,,0,0,0,10.4
30,Sterling Shepard,TB,WR,11,BUF,5,4,80,54,0,24,10.8,13.5,1,7,7,0,0,0,10.1
31,Jordan Addison,MIN,WR,11,CHI,7,2,28.6,20,1,15,2.9,10,0,0,,0,0,0,10
32,DK Metcalf,PIT,WR,11,CIN,8,5,62.5,49,0,17,6.1,9.8,0,0,,0,0,0,9.9
33,Courtland Sutton,DEN,WR,11,KC,8,4,50,59,0,21,7.4,14.8,0,0,,0,0,0,9.9
34,Rashee Rice,KC,WR,11,DEN,9,6,66.7,38,0,11,4.2,6.3,0,0,,0,0,0,9.8
35,Jayden Higgins,HOU,WR,11,TEN,7,4,57.1,55,0,23,7.9,13.8,0,0,,0,0,0,9.5
36,Jauan Jennings,SF,WR,11,ARI,6,4,66.7,54,0,25,9,13.5,0,0,,0,0,0,9.4
37,Romeo Doubs,GB,WR,11,NYG,8,4,50,53,0,22,6.6,13.2,0,0,,0,0,0,9.3
38,Keenan Allen,LAC,WR,11,JAX,6,4,66.7,53,0,30,8.8,13.2,0,0,,0,0,0,9.3
39,Emeka Egbuka,TB,WR,11,BUF,9,5,55.6,40,0,10,4.4,8,0,0,,0,0,0,9
40,Cedric Tillman,CLE,WR,11,BAL,4,3,75,52,0,26,13,17.3,0,0,,0,0,0,8.2
41,Jaylen Waddle,MIA,WR,11,WAS,7,3,42.9,52,0,31,7.4,17.3,0,0,,0,0,0,8.2
42,Marquise Brown,KC,WR,11,DEN,4,4,100,40,0,18,10,10,0,0,,0,0,0,8
43,Wan'Dale Robinson,NYG,WR,11,GB,9,4,44.4,36,0,20,4,9,0,0,,0,0,0,7.6
44,Malik Washington,MIA,WR,11,WAS,3,3,100,42,0,18,14,14,0,0,,0,0,0,7.2
45,Xavier Hutchinson,HOU,WR,11,TEN,5,3,60,42,0,22,8.4,14,0,0,,0,0,0,7.2
46,Ryan Flournoy,DAL,WR,11,LV,1,1,100,2,1,2,2,2,0,0,,0,0,0,7.2
47,Davante Adams,LAR,WR,11,SEA,8,1,12.5,1,1,1,0.1,1,0,0,,0,0,0,7.1
48,Tyquan Thornton,KC,WR,11,DEN,2,1,50,61,0,61,30.5,61,0,0,,0,0,0,7.1
49,Gabe Davis,BUF,WR,11,TB,4,3,75,40,0,22,10,13.3,0,0,,0,0,0,7
50,Darnell Mooney,ATL,WR,11,CAR,7,3,42.9,34,0,20,4.9,11.3,0,0,,0,1,0,6.4
51,Jahan Dotson,PHI,WR,11,DET,2,2,100,43,0,34,21.5,21.5,0,0,,0,0,0,6.3
52,Tyler Lockett,LV,WR,11,DAL,3,3,100,33,0,15,11,11,0,0,,0,0,0,6.3
53,Amon-Ra St. Brown,DET,WR,11,PHI,12,2,16.7,42,0,34,3.5,21,0,0,,0,0,0,6.2
54,DeMario Douglas,NE,WR,11,NYJ,3,3,100,36,0,26,12,12,1,-5,-5,0,0,0,6.1
55,Rome Odunze,CHI,WR,11,MIN,6,2,33.3,41,0,24,6.8,20.5,0,0,,0,0,0,6.1
56,Ja'Marr Chase,CIN,WR,11,PIT,10,3,30,30,0,16,3,10,0,0,,0,0,0,6
57,Luther Burden III,CHI,WR,11,MIN,5,3,60,27,0,16,5.4,9,0,0,,0,0,0,5.7
58,Xavier Worthy,KC,WR,11,DEN,5,3,60,25,0,11,5,8.3,0,0,,0,0,0,5.5
59,Cooper Kupp,SEA,WR,11,LAR,7,3,42.9,23,0,9,3.3,7.7,0,0,,0,0,0,5.3
60,Jerry Jeudy,CLE,WR,11,BAL,7,3,42.9,21,0,10,3,7,0,0,,0,0,0,5.1
61,Andrei Iosivas,CIN,WR,11,PIT,4,3,75,20,0,11,5,6.7,0,0,,0,0,0,5
62,Rashid Shaheed,SEA,WR,11,LAR,5,2,40,27,0,21,5.4,13.5,1,2,2,0,0,0,4.9
63,Chris Moore,WAS,WR,11,MIA,5,2,40,28,0,19,5.6,14,0,0,,0,0,0,4.8
64,Savion Williams,GB,WR,11,NYG,1,1,100,33,0,33,33,33,0,0,,0,0,0,4.3
65,Ladd McConkey,LAC,WR,11,JAX,4,3,75,13,0,7,3.2,4.3,0,0,,0,0,0,4.3
66,Parker Washington,JAX,WR,11,LAC,2,2,100,20,0,11,10,10,0,0,,0,0,0,4
67,Curtis Samuel,BUF,WR,11,TB,3,2,66.7,19,0,14,6.3,9.5,0,0,,0,0,0,3.9
68,Jalin Hyatt,NYG,WR,11,GB,4,2,50,18,0,14,4.5,9,0,0,,0,0,0,3.8
69,Joshua Palmer,BUF,WR,11,TB,5,2,40,17,0,13,3.4,8.5,0,0,,0,0,0,3.7
70,Brycen Tremayne,CAR,WR,11,ATL,2,2,100,17,0,11,8.5,8.5,0,0,,0,0,0,3.7
71,Jacoby Jones,WAS,WR,11,MIA,1,1,100,25,0,25,25,25,0,0,,0,0,0,3.5
72,Xavier Weaver,ARI,WR,11,SF,3,2,66.7,15,0,9,5,7.5,0,0,,0,0,0,3.5
73,Matthew Golden,GB,WR,11,NYG,3,1,33.3,24,0,24,8,24,0,0,,0,0,0,3.4
74,Chimere Dike,TEN,WR,11,HOU,3,2,66.7,14,0,9,4.7,7,0,0,,0,1,0,3.4
75,Elic Ayomanor,TEN,WR,11,HOU,6,2,33.3,11,0,6,1.8,5.5,0,0,,0,0,0,3.1
76,DJ Moore,CHI,WR,11,MIN,3,1,33.3,18,0,18,6,18,1,3,3,0,0,0,3.1
77,Malachi Corley,CLE,WR,11,BAL,2,2,100,9,0,7,4.5,4.5,0,0,,0,0,0,2.9
78,Jack Bech,LV,WR,11,DAL,1,1,100,19,0,19,19,19,0,0,,0,0,0,2.9
79,Roman Wilson,PIT,WR,11,CIN,2,1,50,17,0,17,8.5,17,0,0,,0,0,0,2.7
80,Jalen Nailor,MIN,WR,11,CHI,1,1,100,16,0,16,16,16,0,0,,0,0,0,2.6
81,Mason Kinsey,TEN,WR,11,HOU,3,1,33.3,14,0,14,4.7,14,0,0,,0,0,0,2.4
82,Calvin Ridley,TEN,WR,11,HOU,1,1,100,13,0,13,13,13,0,0,,0,0,0,2.3
83,Austin Trammell,JAX,WR,11,LAC,1,1,100,13,0,13,13,13,0,0,,0,0,0,2.3
84,Demarcus Robinson,SF,WR,11,ARI,2,1,50,13,0,13,6.5,13,0,0,,0,0,0,2.3
85,Jaylin Lane,WAS,WR,11,MIA,1,1,100,13,0,13,13,13,0,0,,0,0,0,2.3
86,Jaylin Noel,HOU,WR,11,TEN,1,1,100,12,0,12,12,12,0,0,,0,0,0,2.2
87,Tre' Harris,LAC,WR,11,JAX,1,1,100,12,0,12,12,12,0,0,,0,0,0,2.2
88,David Sills V,ATL,WR,11,CAR,2,1,50,11,0,11,5.5,11,0,0,,0,0,0,2.1
89,DeAndre Hopkins,BAL,WR,11,CLE,4,1,25,11,0,11,2.8,11,0,0,,0,0,0,2.1
90,Adonai Mitchell,NYJ,WR,11,NE,6,1,16.7,10,0,10,1.7,10,0,0,,0,0,0,2
91,Jordan Whittington,LAR,WR,11,SEA,1,1,100,9,0,9,9,9,0,0,,0,0,0,1.9
92,Dontayvion Wicks,GB,WR,11,NYG,2,1,50,9,0,9,4.5,9,0,0,,0,0,0,1.9
93,Xavier Smith,LAR,WR,11,SEA,2,1,50,8,0,8,4,8,0,0,,0,0,0,1.8
94,DeVonta Smith,PHI,WR,11,DET,5,1,20,8,0,8,1.6,8,0,0,,0,0,0,1.8
95,Tez Johnson,TB,WR,11,BUF,3,1,33.3,6,0,6,2,6,3,0,0,0,0,0,1.6
96,Isaiah Williams,NYJ,WR,11,NE,4,1,25,2,0,2,0.5,2,1,4,4,0,0,0,1.6
97,Christian Kirk,HOU,WR,11,TEN,4,1,25,6,0,6,1.5,6,0,0,,0,0,0,1.6
98,Adam Thielen,MIN,WR,11,CHI,2,1,50,6,0,6,3,6,0,0,,0,0,0,1.6
99,Andre Baccellia,ARI,WR,11,SF,1,1,100,5,0,5,5,5,0,0,,0,0,0,1.5
100,Calvin Austin III,PIT,WR,11,CIN,1,1,100,5,0,5,5,5,0,0,,0,0,0,1.5
