#,Player,Pos,Team,Games,Total Points,Slot PPG,Slot%,Wide PPG,Wide%
1,Ja’Marr Chase,WR,CIN,9,21.0,6.3,30%,14.7,70%
2,Chris Olave,WR,NO,9,14.3,5.6,39%,8.8,61%
3,Jaxon Smith-Njigba,WR,SEA,8,22.1,3.0,14%,19.1,86%
4,Keenan Allen,WR,LAC,9,14.0,6.2,44%,7.8,56%
5,Justin Jefferson,WR,MIN,8,15.5,3.6,23%,11.9,77%
6,Amon-Ra St. Brown,WR,DET,8,20.6,12.6,61%,8.0,39%
7,Puka Nacua,WR,LA,7,21.4,6.9,32%,14.6,68%
8,Ladd McConkey,WR,LAC,9,13.0,7.1,55%,5.9,45%
9,Drake London,WR,ATL,7,19.4,8.1,42%,11.3,58%
10,Davante Adams,WR,LA,8,16.6,1.5,9%,15.1,91%
11,George Pickens,WR,DAL,9,17.9,1.7,9%,16.3,91%
12,Tetairoa McMillan,WR,CAR,9,12.1,3.5,29%,8.6,71%
13,Michael Pittman Jr.,WR,IND,9,16.0,2.8,17%,13.2,83%
14,Rashid Shaheed,WR,NO,9,11.8,5.5,47%,6.3,53%
15,Wan’Dale Robinson,WR,NYG,9,12.6,10.3,82%,2.3,18%
16,Troy Franklin,WR,DEN,9,11.1,5.4,49%,5.7,51%
17,Courtland Sutton,WR,DEN,9,13.2,3.7,28%,9.5,72%
18,Emeka Egbuka,WR,TB,8,15.0,2.6,17%,12.4,83%
19,Zay Flowers,WR,BLT,8,13.4,5.6,42%,7.8,58%
20,Brian Thomas Jr.,WR,JAX,8,9.8,0.5,5%,9.3,95%
21,Jaylen Waddle,WR,MIA,9,13.7,1.9,14%,11.8,86%
22,DeVonta Smith,WR,PHI,8,14.4,6.8,47%,7.5,53%
23,Rome Odunze,WR,CHI,8,13.5,1.7,13%,11.8,87%
24,Tee Higgins,WR,CIN,9,12.9,1.2,9%,11.7,91%
25,Nico Collins,WR,HST,7,13.2,2.0,15%,11.2,85%
26,Deebo Samuel,WR,WAS,8,12.1,5.4,45%,6.7,55%
27,CeeDee Lamb,WR,DAL,6,15.0,5.9,39%,9.2,61%
28,Stefon Diggs,WR,NE,9,12.0,3.3,28%,8.7,72%
29,Jerry Jeudy,WR,CLV,8,6.0,2.0,33%,4.0,67%
30,Romeo Doubs,WR,GB,8,12.8,1.4,11%,11.4,89%
31,Garrett Wilson,WR,NYJ,6,16.6,6.8,41%,9.8,59%
32,Marquise Brown,WR,KC,9,10.8,4.9,45%,5.9,55%
33,Elic Ayomanor,WR,TEN,9,7.8,1.8,23%,6.0,77%
34,Marvin Harrison Jr.,WR,ARZ,8,12.3,2.2,18%,10.1,82%
35,Quentin Johnston,WR,LAC,8,14.3,2.6,18%,11.6,82%
36,A.J. Brown,WR,PHI,7,12.4,0.5,4%,11.9,96%
37,D.K. Metcalf,WR,PIT,8,13.2,1.7,13%,11.5,87%
38,Jakobi Meyers,WR,LV,7,9.7,6.4,66%,3.4,34%
39,Khalil Shakir,WR,BUF,8,12.0,5.5,46%,6.5,54%
40,Josh Downs,WR,IND,8,10.5,8.1,76%,2.5,24%
41,Olamide Zaccheaus,WR,CHI,8,7.7,5.4,71%,2.2,29%
42,Travis Hunter,WR,JAX,7,9.1,6.6,73%,2.5,27%
43,Alec Pierce,WR,IND,7,10.6,1.3,12%,9.3,88%
44,Tre Tucker,WR,LV,8,12.3,1.6,13%,10.7,87%
45,Keon Coleman,WR,BUF,8,8.7,1.3,15%,7.4,85%
46,Parker Washington,WR,JAX,8,7.6,3.9,51%,3.7,49%
47,DJ Moore,WR,CHI,8,9.5,2.1,22%,7.4,78%
48,Jauan Jennings,WR,SF,7,8.5,2.2,26%,6.3,74%
49,Xavier Worthy,WR,KC,7,7.9,4.5,57%,3.4,43%
50,Kendrick Bourne,WR,SF,8,9.5,2.6,27%,7.0,73%
51,Malik Washington,WR,MIA,9,5.8,2.7,47%,3.1,53%
52,Sterling Shepard,WR,TB,8,7.6,2.7,35%,4.9,65%
53,Dyami Brown,WR,JAX,7,6.7,1.0,15%,5.7,85%
54,Jordan Addison,WR,MIN,5,14.1,2.8,20%,11.4,80%
55,Jameson Williams,WR,DET,8,9.3,2.4,26%,6.9,74%
56,Calvin Ridley,WR,TEN,6,7.5,1.5,20%,6.0,80%
57,Marvin Mims Jr.,WR,DEN,8,6.4,2.3,35%,4.2,65%
