#,Player,Pos,Team,Games,Total Points,Slot PPG,Slot%,Wide PPG,Wide%
58,Chimere Dike,WR,TEN,9,5.2,3.8,74%,1.3,26%
59,Xavier Legette,WR,CAR,7,7.2,2.0,29%,5.1,71%
60,Mike Evans,WR,TB,4,8.5,1.5,17%,7.0,83%
61,Kayshon Boutte,WR,NE,9,10.7,1.1,10%,9.6,90%
62,Cooper Kupp,WR,SEA,7,8.5,4.7,56%,3.8,44%
63,Malik Nabers,WR,NYG,4,14.3,2.8,19%,11.5,81%
64,Michael Wilson,WR,ARZ,8,5.5,2.9,52%,2.6,48%
65,Andrei Iosivas,WR,CIN,9,5.1,2.3,45%,2.8,55%
66,Tyreek Hill,WR,MIA,4,13.4,2.2,16%,11.2,84%
67,Isaiah Bond,WR,CLV,8,2.9,1.5,51%,1.4,49%
68,Xavier Hutchinson,WR,HST,8,7.7,4.4,57%,3.3,43%
69,Matthew Golden,WR,GB,8,6.2,3.0,48%,3.2,52%
70,JuJu Smith-Schuster,WR,KC,9,6.7,4.3,65%,2.3,35%
71,Darius Slayton,WR,NYG,7,6.3,1.1,18%,5.2,82%
72,Jalen Nailor,WR,MIN,8,4.7,3.4,73%,1.3,27%
73,Ricky Pearsall,WR,SF,4,13.2,4.4,33%,8.8,67%
74,Calvin Austin III,WR,PIT,6,8.9,4.7,53%,4.2,47%
75,Jaylin Lane,WR,WAS,9,3.5,1.1,32%,2.3,68%
76,Demario Douglas,WR,NE,9,6.9,4.1,59%,2.8,41%
77,Tyquan Thornton,WR,KC,9,7.0,2.9,41%,4.1,59%
78,Rashee Rice,WR,KC,3,19.8,8.5,43%,11.3,57%
79,Van Jefferson,WR,TEN,9,3.4,0.4,13%,3.0,87%
80,Rashod Bateman,WR,BLT,8,5.7,0.6,10%,5.1,90%
81,Darnell Mooney,WR,ATL,6,4.9,1.9,39%,3.0,61%
82,Brandin Cooks,WR,NO,9,3.9,1.4,35%,2.6,65%
83,Hunter Renfrow,WR,CAR,6,6.0,4.7,79%,1.3,21%
84,Jalen Tolbert,WR,DAL,9,4.1,1.0,24%,3.1,76%
85,Tez Johnson,WR,TB,7,6.9,3.8,55%,3.1,45%
86,Mack Hollins,WR,NE,9,6.0,0.4,7%,5.5,93%
87,Christian Kirk,WR,HST,4,6.9,5.1,74%,1.8,26%
88,Tory Horton,WR,SEA,8,7.4,1.9,26%,5.5,74%
89,Terry McLaurin,WR,WAS,4,9.8,0.4,4%,9.5,96%
90,Tyler Lockett,WR,LV,8,2.1,1.0,48%,1.1,52%
91,Josh Reynolds,WR,NYJ,5,4.2,0.8,18%,3.4,82%
92,Jayden Higgins,WR,HST,8,5.2,2.4,47%,2.8,53%
93,Ryan Flournoy,WR,DAL,8,5.2,3.5,67%,1.8,33%
94,Jaylin Noel,WR,HST,8,4.5,3.4,74%,1.2,26%
95,Dontayvion Wicks,WR,GB,6,4.4,2.4,53%,2.1,47%
96,KaVontae Turpin,WR,DAL,7,5.6,3.5,63%,2.1,37%
97,Cedric Tillman,WR,CLV,4,8.4,4.1,48%,4.4,52%
98,Joshua Palmer,WR,BUF,6,6.2,1.0,15%,5.3,85%
99,Dont’e Thornton Jr.,WR,LV,6,2.4,0.0,0%,2.4,100%
100,Tre Harris,WR,LAC,9,3.5,0.8,24%,2.6,76%
101,Demarcus Robinson,WR,SF,6,3.1,0.4,13%,2.7,87%
102,Nick Westbrook-Ikhine,WR,MIA,9,2.0,0.4,18%,1.7,82%
103,Jordan Whittington,WR,LA,8,3.0,1.9,62%,1.2,38%
104,Chris Moore,WR,WAS,8,3.8,1.2,30%,2.7,70%
105,Greg Dortch,WR,ARZ,8,3.5,2.2,63%,1.3,37%
106,DeAndre Hopkins,WR,BLT,8,5.2,0.3,6%,4.9,94%
107,Zay Jones,WR,ARZ,7,4.3,0.6,14%,3.7,86%
108,Luke McCaffrey,WR,WAS,7,7.0,2.2,31%,4.8,69%
109,Adonai Mitchell,WR,IND,8,3.0,0.5,17%,2.5,83%
110,Luther Burden III,WR,CHI,7,5.2,1.8,35%,3.4,65%
111,Chris Godwin,WR,TB,2,5.6,5.0,89%,0.6,11%
112,Pat Bryant,WR,DEN,9,2.8,0.7,23%,2.2,77%
113,Ray-Ray McCloud III,WR,NYG,5,2.8,2.7,98%,0.1,2%
114,Casey Washington,WR,ATL,5,3.1,2.2,71%,0.9,29%
115,Tyler Johnson,WR,NYJ,7,5.0,1.9,37%,3.1,63%
116,Kalif Raymond,WR,DET,7,2.2,0.9,42%,1.3,58%
117,Elijah Moore,WR,BUF,7,2.4,1.5,62%,0.9,38%
118,Jahan Dotson,WR,PHI,8,3.6,0.6,16%,3.0,84%
119,Brycen Tremayne,WR,CAR,9,2.4,0.7,31%,1.7,69%
120,Jamari Thrash,WR,CLV,8,2.6,1.6,62%,1.0,38%
121,Roman Wilson,WR,PIT,8,3.3,0.3,10%,3.0,90%
122,Adam Thielen,WR,MIN,8,1.2,0.4,30%,0.9,70%
123,Allen Lazard,WR,NYJ,6,2.9,1.5,52%,1.4,48%
124,Tyrell Shavers,WR,BUF,8,1.5,0.0,0%,1.5,100%
125,Arian Smith,WR,NYJ,8,1.3,0.4,30%,0.9,70%
126,Devaughn Vele,WR,NO,8,1.9,0.9,49%,1.0,51%
127,Jack Bech,WR,LV,7,2.0,0.8,40%,1.2,60%
128,Jalin Hyatt,WR,NYG,5,0.9,0.0,0%,0.9,100%
129,Tutu Atwell,WR,LA,6,4.4,4.2,95%,0.2,5%
130,KhaDarel Hodge,WR,ATL,4,1.5,0.4,28%,1.1,72%
131,Jalen Coker,WR,CAR,3,2.8,2.2,78%,0.6,22%
132,Braxton Berrios,WR,HST,2,4.9,2.8,58%,2.1,42%
133,Jimmy Horn Jr.,WR,CAR,5,2.5,1.7,66%,0.9,34%
134,Lil’Jordan Humphrey,WR,NYG,3,3.2,0.0,0%,3.2,100%
135,Marquez Valdes-Scantling,WR,SF,5,1.6,0.6,40%,1.0,60%
136,Christian Watson,WR,GB,2,10.2,3.1,31%,7.1,69%
137,Noah Brown,WR,WAS,2,3.3,0.0,0%,3.3,100%
138,Xavier Smith,WR,LA,6,1.9,1.3,71%,0.6,29%
139,Ashton Dulin,WR,IND,7,1.4,0.0,0%,1.4,100%
140,Savion Williams,WR,GB,8,2.2,1.7,78%,0.5,22%
141,David Sills V,WR,ATL,8,0.7,0.7,100%,0.0,0%
142,Mitchell Tinsley,WR,CIN,9,1.5,0.0,0%,1.5,100%
143,Tylan Wallace,WR,BLT,7,2.1,0.3,14%,1.8,86%
144,Isaac TeSlaa,WR,DET,8,2.6,0.0,0%,2.6,100%
145,Malik Heath,WR,GB,8,1.8,0.5,26%,1.4,74%
146,Tim Patrick,WR,JAX,6,2.7,0.4,16%,2.3,84%
147,Beaux Collins,WR,NYG,7,0.6,0.4,62%,0.2,38%
148,D’Wayne Eskridge,WR,MIA,8,1.3,0.5,36%,0.8,64%
149,Kyle Williams,WR,NE,9,0.4,0.0,0%,0.4,100%
150,Skyy Moore,WR,SF,8,1.0,0.6,59%,0.4,41%
151,Jayden Reed,WR,GB,2,6.8,6.8,100%,0.0,0%
152,Curtis Samuel,WR,BUF,4,3.5,0.4,11%,3.1,89%
153,Kameron Johnson,WR,TB,7,2.3,2.2,94%,0.1,6%
154,Justin Watson,WR,HST,2,3.0,3.0,100%,0.0,0%
155,Isaiah Williams,WR,NYJ,2,3.1,2.3,75%,0.8,25%
156,John Metchie III,WR,PHI,6,1.0,0.7,71%,0.3,29%
157,Trent Sherfield,WR,DEN,9,0.6,0.3,51%,0.3,49%
158,KeAndre Lambert-Smith,WR,LAC,6,0.2,0.0,0%,0.2,0%
159,Gage Larvadain,WR,CLV,4,1.1,0.6,57%,0.5,43%
160,Robbie Chosen,WR,WAS,1,7.6,1.5,20%,6.1,80%
161,Ryan Miller,WR,TB,8,1.4,0.3,21%,1.1,79%
162,Jordan Watkins,WR,SF,2,2.3,0.9,37%,1.5,63%
163,Devin Duvernay,WR,CHI,2,0.6,0.6,100%,0.0,0%
164,Ben Skowronek,WR,PIT,8,1.4,1.2,80%,0.3,20%
165,Konata Mumpfield,WR,LA,7,1.3,0.0,0%,1.3,100%
166,Devontez Walker,WR,BLT,3,7.0,0.0,0%,7.0,100%
167,Cedrick Wilson Jr.,WR,MIA,2,1.5,0.0,0%,1.5,100%
168,Jared Wayne,WR,HST,1,4.0,0.0,0%,4.0,100%
169,Tahj Washington,WR,MIA,2,1.1,0.0,0%,1.1,100%
170,Cody White,WR,SEA,2,6.5,0.0,0%,6.5,100%
171,Tay Martin,WR,WAS,3,1.4,0.0,0%,1.4,100%
172,Malachi Corley,WR,CLV,4,0.9,0.3,27%,0.7,73%
173,Scott Miller,WR,PIT,6,0.3,0.0,0%,0.3,100%
174,Dareke Young,WR,SEA,4,1.7,0.0,0%,1.7,100%
175,Jake Bobo,WR,SEA,6,0.7,0.7,100%,0.0,0%
176,Alex Bachman,WR,LV,5,0.4,0.4,100%,0.0,0%
177,Anthony Gould,WR,IND,3,0.4,0.4,100%,0.0,0%
178,Gunner Olszewski,WR,NYG,4,2.4,2.4,100%,0.0,0%
179,Michael Bandy,WR,DEN,1,2.6,2.6,100%,0.0,0%
180,Xavier Gipson,WR,PHI,1,1.3,1.3,100%,0.0,0%
181,Tim Jones,WR,JAX,3,0.8,0.0,0%,0.8,100%
182,Bryce Oliver,WR,TEN,2,0.9,0.0,0%,0.9,100%
183,Treylon Burks,WR,WAS,1,2.4,0.0,0%,2.4,100%
184,Tai Felton,WR,MIN,2,1.0,0.0,0%,1.0,100%
185,David Moore,WR,CAR,3,0.5,0.0,0%,0.5,100%
186,Nikko Remigio,WR,KC,4,0.8,0.0,0%,0.8,100%
