#,Defense,Total PPG Allowed,Slot PPG Allowed,Wide PPG Allowed,Slot%,Wide%,Next Opp
1,ARZ,27.7,7.0,20.7,23%,77%,TB
2,ATL,34.2,9.4,24.8,28%,72%,NYJ
3,BLT,30.0,7.8,22.2,27%,73%,CIN
4,BUF,26.9,12.9,14.0,47%,53%,PIT
5,CAR,25.3,9.6,15.7,38%,62%,LA
6,CHI,28.3,11.7,16.6,39%,47%,PHI
7,CIN,20.8,7.6,13.2,30%,70%,BLT
8,CLV,20.9,4.6,16.4,37%,63%,SF
9,DAL,34.6,9.4,25.2,27%,73%,KC
10,DEN,28.2,10.7,17.5,45%,55%,WAS
11,DET,33.1,14.5,18.6,40%,60%,GB
12,GB,22.8,3.9,18.9,18%,82%,DET
13,HST,24.9,10.8,14.1,44%,56%,IND
14,IND,33.3,14.5,18.9,46%,54%,HST
15,JAX,29.1,8.7,20.4,33%,67%,TEN
16,KC,23.4,7.3,16.1,32%,68%,DAL
17,LA,34.2,11.4,22.8,31%,69%,CAR
18,LAC,25.3,10.1,15.3,40%,60%,LV
19,LV,36.7,14.7,22.0,40%,60%,LAC
20,MIA,22.2,10.6,11.6,49%,51%,NO
21,MIN,31.0,8.3,22.7,35%,65%,SEA
22,NE,29.1,12.8,16.4,46%,54%,NYG
23,NO,26.3,6.4,19.9,27%,73%,MIA
24,NYG,33.2,11.2,22.0,31%,69%,NE
25,NYJ,28.4,10.1,18.4,35%,65%,ATL
26,PHI,30.4,7.1,23.2,29%,71%,CHI
27,PIT,44.5,14.3,30.2,34%,66%,BUF
28,SEA,28.4,12.1,16.3,45%,55%,MIN
29,SF,38.9,17.7,21.2,42%,58%,CLV
30,TB,38.4,12.7,25.8,37%,63%,ARZ
31,TEN,43.0,15.3,27.8,35%,65%,JAX
32,WAS,40.1,16.1,23.9,40%,60%,DEN
33,NFL Average,30.4,10.7,19.8,36%,64%,
