#,Defense,Total PPG Allowed,Slot PPG Allowed,Wide PPG Allowed,Slot%,Wide%,Next Opp
1,ARZ,31.4,11.4,19.9,36%,64%,DAL
2,ATL,26.0,6.8,19.2,34%,66%,NE
3,BLT,37.3,15.4,21.9,40%,60%,MIA
4,BUF,25.0,8.0,17.0,33%,67%,KC
5,CAR,23.6,6.9,16.7,31%,69%,GB
6,CHI,29.4,12.9,16.5,38%,47%,CIN
7,CIN,25.4,10.0,15.4,33%,67%,CHI
8,CLV,33.6,9.8,23.8,29%,71%,BYE
9,DAL,40.1,12.4,27.7,33%,67%,ARZ
10,DEN,31.3,11.2,20.1,42%,58%,HST
11,DET,37.0,13.7,23.3,36%,64%,MIN
12,GB,34.4,10.3,24.1,31%,69%,CAR
13,HST,26.2,6.8,19.3,23%,77%,DEN
14,IND,41.5,16.1,25.4,41%,59%,PIT
15,JAX,35.4,5.0,30.5,14%,86%,LV
16,KC,20.8,6.2,14.7,30%,70%,BUF
17,LA,42.4,14.3,28.2,32%,68%,NO
18,LAC,29.6,11.6,18.0,40%,60%,TEN
19,LV,40.1,17.1,23.1,40%,60%,JAX
20,MIA,21.7,8.9,12.8,43%,57%,BLT
21,MIN,27.1,6.6,20.4,34%,66%,DET
22,NE,26.0,7.8,18.2,32%,68%,ATL
23,NO,25.0,6.9,18.1,32%,68%,LA
24,NYG,32.5,11.8,20.7,35%,65%,SF
25,NYJ,31.5,9.8,21.7,32%,68%,BYE
26,PHI,32.4,9.1,23.4,31%,69%,BYE
27,PIT,43.0,10.3,32.7,24%,76%,IND
28,SEA,28.8,11.8,17.0,45%,55%,WAS
29,SF,32.4,14.0,18.4,39%,61%,NYG
30,TB,34.0,10.8,23.2,36%,64%,BYE
31,TEN,37.9,10.8,27.0,27%,73%,LAC
32,WAS,41.6,18.9,22.7,50%,50%,SEA
33,NFL Average,32.0,10.7,21.3,34%,65%,
