RK,NAME,TEAM,POS,WK,OPP,TGTS,REC,CATCH%,YDS,TD,LONG,YDS/TGT,YDS/REC,ATT,YDS,AVG,TD,FUM,LOST,FPTS
1,Drake London,ATL,WR,9,NE,14,9,64.3,118,3,40,8.4,13.1,0,0,,0,0,0,38.8
2,Tee Higgins,CIN,WR,9,CHI,9,7,77.8,121,2,44,13.4,17.3,0,0,,0,0,0,33.1
3,Davante Adams,LAR,WR,9,NO,7,5,71.4,60,2,29,8.6,12,0,0,,0,0,0,23
4,DJ Moore,CHI,WR,9,CIN,6,4,66.7,72,0,23,12,18,1,17,17,1,0,0,23
5,Puka Nacua,LAR,WR,9,NO,8,7,87.5,95,1,39,11.9,13.6,1,3,3,0,0,0,22.8
6,Marvin Harrison Jr.,ARI,WR,9,DAL,10,7,70,96,1,20,9.6,13.7,0,0,,0,0,0,22.6
7,Jaxon Smith-Njigba,SEA,WR,9,WAS,9,8,88.9,129,0,26,14.3,16.1,1,11,11,0,0,0,22
8,Tory Horton,SEA,WR,9,WAS,4,4,100,48,2,25,12,12,0,0,,0,0,0,20.8
9,Michael Pittman Jr.,IND,WR,9,PIT,12,9,75,115,0,21,9.6,12.8,0,0,,0,0,0,20.5
10,DeMario Douglas,NE,WR,9,ATL,6,4,66.7,100,1,58,16.7,25,0,0,,0,0,0,20
11,Amon-Ra St. Brown,DET,WR,9,MIN,13,9,69.2,97,0,19,7.5,10.8,0,0,,0,0,0,18.7
12,Rashee Rice,KC,WR,9,BUF,7,4,57.1,80,0,29,11.4,20,2,6,3,1,0,0,18.6
13,Andrei Iosivas,CIN,WR,9,CHI,7,5,71.4,66,1,28,9.4,13.2,1,4,4,0,0,0,18
14,Olamide Zaccheaus,CHI,WR,9,CIN,8,6,75,58,1,15,7.2,9.7,0,0,,0,0,0,17.8
15,Alec Pierce,IND,WR,9,PIT,13,6,46.2,115,0,36,8.8,19.2,0,0,,0,0,0,17.5
16,Ja'Marr Chase,CIN,WR,9,CHI,8,6,75,111,0,36,13.9,18.5,0,0,,0,0,0,17.1
17,Parker Washington,JAX,WR,9,LV,9,8,88.9,90,0,22,10,11.2,0,0,,0,0,0,17
18,Justin Jefferson,MIN,WR,9,DET,9,6,66.7,47,1,21,5.2,7.8,0,0,,0,0,0,16.7
19,Jameson Williams,DET,WR,9,MIN,6,4,66.7,66,1,37,11,16.5,0,0,,0,0,0,16.6
20,Romeo Doubs,GB,WR,9,CAR,10,7,70,91,0,30,9.1,13,0,0,,0,0,0,16.1
21,Josh Downs,IND,WR,9,PIT,9,6,66.7,57,1,17,6.3,9.5,0,0,,0,1,1,15.7
22,CeeDee Lamb,DAL,WR,9,ARI,12,7,58.3,85,0,33,7.1,12.1,0,0,,0,0,0,15.5
23,Quentin Johnston,LAC,WR,9,TEN,6,4,66.7,53,1,23,8.8,13.2,0,0,,0,0,0,15.3
24,Nico Collins,HOU,WR,9,DEN,11,7,63.6,75,0,26,6.8,10.7,0,0,,0,0,0,14.5
25,Jaylen Waddle,MIA,WR,9,BAL,9,6,66.7,82,0,24,9.1,13.7,0,0,,0,0,0,14.2
26,Jauan Jennings,SF,WR,9,NYG,5,4,80,41,1,20,8.2,10.2,0,0,,0,0,0,14.1
27,George Pickens,DAL,WR,9,ARI,9,6,66.7,79,0,19,8.8,13.2,0,0,,0,2,0,13.9
28,Wan'Dale Robinson,NYG,WR,9,SF,11,9,81.8,46,0,9,4.2,5.1,0,0,,0,0,0,13.6
29,Cody White,SEA,WR,9,WAS,2,1,50,60,1,60,30,60,0,0,,0,0,0,13
30,Stefon Diggs,NE,WR,9,ATL,4,3,75,38,1,21,9.5,12.7,0,0,,0,0,0,12.8
31,Rashid Shaheed,NO,WR,9,LAR,9,5,55.6,68,0,26,7.6,13.6,0,0,,0,0,0,11.8
32,Zay Flowers,BAL,WR,9,MIA,5,5,100,64,0,39,12.8,12.8,0,0,,0,0,0,11.4
33,Khalil Shakir,BUF,WR,9,KC,8,7,87.5,43,0,20,5.4,6.1,0,0,,0,0,0,11.3
34,Darius Slayton,NYG,WR,9,SF,7,5,71.4,62,0,24,8.9,12.4,0,0,,0,0,0,11.2
35,Calvin Austin III,PIT,WR,9,IND,6,5,83.3,56,0,18,9.3,11.2,0,0,,0,0,0,10.6
36,Courtland Sutton,DEN,WR,9,HOU,6,1,16.7,30,1,30,5,30,0,0,,0,0,0,10
37,Ladd McConkey,LAC,WR,9,TEN,6,4,66.7,56,0,21,9.3,14,0,0,,0,0,0,9.6
38,Gunner Olszewski,NYG,WR,9,SF,1,1,100,24,1,24,24,24,0,0,,0,0,0,9.4
39,Deebo Samuel Sr.,WAS,WR,9,SEA,6,5,83.3,41,0,19,6.8,8.2,1,3,3,0,0,0,9.4
40,Marquise Brown,KC,WR,9,BUF,4,2,50,73,0,40,18.2,36.5,0,0,,0,0,0,9.3
41,Rashod Bateman,BAL,WR,9,MIA,4,2,50,13,1,9,3.2,6.5,0,0,,0,0,0,9.3
42,Ryan Flournoy,DAL,WR,9,ARI,2,2,100,12,1,7,6,6,0,0,,0,0,0,9.2
43,Michael Wilson,ARI,WR,9,DAL,4,3,75,61,0,50,15.2,20.3,0,0,,0,0,0,9.1
44,Chris Olave,NO,WR,9,LAR,4,3,75,57,0,27,14.2,19,0,0,,0,0,0,8.7
45,Tetairoa McMillan,CAR,WR,9,GB,6,4,66.7,46,0,16,7.7,11.5,0,0,,0,0,0,8.6
46,Brian Thomas Jr.,JAX,WR,9,LV,5,3,60,55,0,34,11,18.3,0,0,,0,0,0,8.5
47,Jordan Addison,MIN,WR,9,DET,4,2,50,48,0,31,12,24,1,16,16,0,0,0,8.4
48,Troy Franklin,DEN,WR,9,HOU,10,4,40,27,0,13,2.7,6.8,2,-4,-2,0,0,0,8.3
49,Christian Watson,GB,WR,9,CAR,4,2,50,58,0,52,14.5,29,0,0,,0,0,0,7.8
50,Elic Ayomanor,TEN,WR,9,LAC,6,3,50,46,0,29,7.7,15.3,0,0,,0,0,0,7.6
51,Malik Washington,MIA,WR,9,BAL,3,3,100,48,0,28,16,16,3,13,4.3,0,1,1,7.1
52,Tre Tucker,LV,WR,9,JAX,4,3,75,38,0,22,9.5,12.7,0,0,,0,0,0,6.8
53,Christian Kirk,HOU,WR,9,DEN,8,4,50,26,0,13,3.2,6.5,0,0,,0,0,0,6.6
54,Jakobi Meyers,LV,WR,9,JAX,6,4,66.7,23,0,7,3.8,5.8,0,0,,0,0,0,6.3
55,Keenan Allen,LAC,WR,9,TEN,5,2,40,41,0,31,8.2,20.5,0,0,,0,0,0,6.1
56,Xavier Worthy,KC,WR,9,BUF,7,3,42.9,23,0,18,3.3,7.7,1,7,7,0,0,0,6
57,Xavier Hutchinson,HOU,WR,9,DEN,5,3,60,30,0,19,6,10,0,0,,0,0,0,6
58,Dyami Brown,JAX,WR,9,LV,7,3,42.9,25,0,16,3.6,8.3,1,4,4,0,0,0,5.9
59,Kendrick Bourne,SF,WR,9,NYG,2,2,100,34,0,21,17,17,0,0,,0,0,0,5.4
60,Nick Westbrook-Ikhine,MIA,WR,9,BAL,4,2,50,22,0,17,5.5,11,0,0,,0,0,0,4.2
61,Pat Bryant,DEN,WR,9,HOU,3,2,66.7,20,0,13,6.7,10,0,0,,0,0,0,4
62,Jaylin Lane,WAS,WR,9,SEA,5,3,60,29,0,15,5.8,9.7,0,0,,0,1,1,3.9
63,Tre' Harris,LAC,WR,9,TEN,2,2,100,18,0,15,9,9,0,0,,0,0,0,3.8
64,Elijah Moore,BUF,WR,9,KC,1,1,100,28,0,28,28,28,0,0,,0,0,0,3.8
65,Mitchell Tinsley,CIN,WR,9,CHI,2,1,50,27,0,27,13.5,27,0,0,,0,0,0,3.7
66,Keon Coleman,BUF,WR,9,KC,2,2,100,17,0,11,8.5,8.5,0,0,,0,0,0,3.7
67,Brandin Cooks,NO,WR,9,LAR,3,2,66.7,16,0,10,5.3,8,0,0,,0,0,0,3.6
68,KaVontae Turpin,DAL,WR,9,ARI,3,2,66.7,10,0,6,3.3,5,1,3,3,0,0,0,3.3
69,Xavier Smith,LAR,WR,9,NO,3,2,66.7,12,0,7,4,6,0,0,,0,0,0,3.2
70,Xavier Legette,CAR,WR,9,GB,3,1,33.3,22,0,22,7.3,22,0,0,,0,0,0,3.2
71,Van Jefferson,TEN,WR,9,LAC,4,1,25,21,0,21,5.2,21,0,0,,0,0,0,3.1
72,Skyy Moore,SF,WR,9,NYG,1,1,100,21,0,21,21,21,0,0,,0,0,0,3.1
73,Mack Hollins,NE,WR,9,ATL,2,2,100,9,0,5,4.5,4.5,0,0,,0,0,0,2.9
74,Matthew Golden,GB,WR,9,CAR,3,2,66.7,9,0,6,3,4.5,0,0,,0,0,0,2.9
75,Jordan Watkins,SF,WR,9,NYG,1,1,100,19,0,19,19,19,0,0,,0,0,0,2.9
76,Jalen Nailor,MIN,WR,9,DET,4,1,25,16,0,16,4,16,0,0,,0,0,0,2.6
77,DK Metcalf,PIT,WR,9,IND,4,2,50,6,0,6,1.5,3,0,0,,0,0,0,2.6
78,Darnell Mooney,ATL,WR,9,NE,2,1,50,15,0,15,7.5,15,0,0,,0,0,0,2.5
79,Tim Jones,JAX,WR,9,LV,1,1,100,15,0,15,15,15,0,0,,0,0,0,2.5
80,Treylon Burks,WAS,WR,9,SEA,1,1,100,14,0,14,14,14,0,0,,0,0,0,2.4
81,Malik Heath,GB,WR,9,CAR,1,1,100,11,0,11,11,11,0,0,,0,0,0,2.1
82,Jalen Coker,CAR,WR,9,GB,1,1,100,9,0,9,9,9,0,0,,0,0,0,1.9
83,Jimmy Horn Jr.,CAR,WR,9,GB,2,1,50,1,0,1,0.5,1,1,7,7,0,0,0,1.8
84,Brycen Tremayne,CAR,WR,9,GB,1,1,100,8,0,8,8,8,0,0,,0,0,0,1.8
85,Tyrell Shavers,BUF,WR,9,KC,1,1,100,7,0,7,7,7,0,0,,0,0,0,1.7
86,Cedrick Wilson Jr.,MIA,WR,9,BAL,1,1,100,7,0,7,7,7,0,0,,0,0,0,1.7
87,Adonai Mitchell,IND,WR,9,PIT,1,1,100,7,0,7,7,7,0,0,,0,0,0,1.7
88,Curtis Samuel,BUF,WR,9,KC,1,1,100,6,0,6,6,6,0,0,,0,0,0,1.6
89,Ray-Ray McCloud III,NYG,WR,9,SF,1,1,100,5,0,5,5,5,0,0,,0,0,0,1.5
90,Chimere Dike,TEN,WR,9,LAC,3,1,33.3,5,0,5,1.7,5,0,0,,0,0,0,1.5
91,Jayden Higgins,HOU,WR,9,DEN,1,1,100,4,0,4,4,4,0,0,,0,0,0,1.4
92,JuJu Smith-Schuster,KC,WR,9,BUF,1,1,100,2,0,2,2,2,0,0,,0,0,0,1.2
93,Savion Williams,GB,WR,9,CAR,2,2,100,12,0,6,6,6,1,0,0,0,1,1,1.2
94,Greg Dortch,ARI,WR,9,DAL,0,0,,0,0,0,,,1,9,9,0,0,0,0.9
95,Michael Bandy,DEN,WR,9,HOU,1,1,100,16,0,16,16,16,0,0,,0,1,1,0.6
96,Tahj Washington,MIA,WR,9,BAL,2,1,50,11,0,11,5.5,11,0,0,,0,1,1,0.1
97,Jahdae Walker,CHI,WR,9,CIN,0,0,,0,0,0,,,0,0,,0,0,0,0
98,Simi Fehoko,ARI,WR,9,DAL,0,0,,0,0,0,,,0,0,,0,0,0,0
99,Austin Trammell,JAX,WR,9,LV,1,0,0,0,0,0,0,,0,0,,0,0,0,0
100,Charlie Jones,CIN,WR,9,CHI,0,0,,0,0,0,,,0,0,,0,0,0,0
