RK,NAME,TEAM,POS,WK,OPP,TGTS,REC,CATCH%,YDS,TD,LONG,YDS/TGT,YDS/REC,ATT,YDS,AVG,TD,FUM,LOST,FPTS
1,Troy Franklin,DEN,WR,8,DAL,8,6,75,89,2,26,11.1,14.8,0,0,,0,0,0,26.9
2,Rashee Rice,KC,WR,8,WAS,9,9,100,93,1,25,10.3,10.3,2,12,6,0,1,0,25.5
3,Michael Pittman Jr.,IND,WR,8,TEN,9,8,88.9,95,1,21,10.6,11.9,0,0,,0,0,0,23.5
4,Ja'Marr Chase,CIN,WR,8,NYJ,19,12,63.2,91,0,17,4.8,7.6,0,0,,0,0,0,21.1
5,Jaylen Waddle,MIA,WR,8,ATL,6,5,83.3,99,1,43,16.5,19.8,0,0,,0,0,0,20.9
6,Ladd McConkey,LAC,WR,8,MIN,10,6,60,88,1,27,8.8,14.7,0,0,,0,0,0,20.8
7,Khalil Shakir,BUF,WR,8,CAR,7,6,85.7,88,1,54,12.6,14.7,0,0,,0,0,0,20.8
8,Rome Odunze,CHI,WR,8,BAL,10,7,70,114,0,27,11.4,16.3,0,0,,0,0,0,18.4
9,Xavier Hutchinson,HOU,WR,8,SF,6,5,83.3,69,1,30,11.5,13.8,0,0,,0,0,0,17.9
10,Roman Wilson,PIT,WR,8,GB,5,4,80,74,1,45,14.8,18.5,0,0,,0,0,0,17.4
11,Tetairoa McMillan,CAR,WR,8,BUF,10,7,70,99,0,19,9.9,14.1,0,0,,0,0,0,16.9
12,DK Metcalf,PIT,WR,8,GB,7,5,71.4,55,1,24,7.9,11,0,0,,0,0,0,16.5
13,Kayshon Boutte,NE,WR,8,CLE,5,3,60,75,1,39,15,25,0,0,,0,0,0,16.5
14,Chimere Dike,TEN,WR,8,IND,8,7,87.5,93,0,21,11.6,13.3,1,1,1,0,0,0,16.4
15,Mack Hollins,NE,WR,8,CLE,7,7,100,89,0,21,12.7,12.7,0,0,,0,0,0,15.9
16,Tyler Johnson,NYJ,WR,8,CIN,5,3,60,64,1,34,12.8,21.3,0,0,,0,0,0,15.4
17,George Pickens,DAL,WR,8,DEN,9,7,77.8,78,0,17,8.7,11.1,0,0,,0,0,0,14.8
18,CeeDee Lamb,DAL,WR,8,DEN,10,7,70,74,0,29,7.4,10.6,1,2,2,0,0,0,14.6
19,Rashid Shaheed,NO,WR,8,TB,12,9,75,75,0,10,6.2,8.3,0,0,,0,1,1,14.5
20,Terry McLaurin,WAS,WR,8,KC,4,3,75,54,1,25,13.5,18,0,0,,0,0,0,14.4
21,Justin Jefferson,MIN,WR,8,LAC,11,7,63.6,74,0,17,6.7,10.6,0,0,,0,0,0,14.4
22,DeVonta Smith,PHI,WR,8,NYG,9,6,66.7,84,0,26,9.3,14,0,0,,0,0,0,14.4
23,Zay Flowers,BAL,WR,8,CHI,9,7,77.8,63,0,20,7,9,1,8,8,0,0,0,14.1
24,Chris Olave,NO,WR,8,TB,12,8,66.7,63,0,28,5.2,7.9,1,-3,-3,0,0,0,14
25,Malik Washington,MIA,WR,8,ATL,5,4,80,36,1,17,7.2,9,0,0,,0,0,0,13.6
26,Jayden Higgins,HOU,WR,8,SF,8,4,50,34,1,12,4.2,8.5,0,0,,0,0,0,13.4
27,Josh Downs,IND,WR,8,TEN,3,3,100,39,1,18,13,13,0,0,,0,0,0,12.9
28,Jalen Tolbert,DAL,WR,8,DEN,2,2,100,47,1,35,23.5,23.5,0,0,,0,0,0,12.7
29,Christian Watson,GB,WR,8,PIT,4,4,100,85,0,33,21.2,21.2,0,0,,0,0,0,12.5
30,Pat Bryant,DEN,WR,8,DAL,4,2,50,40,1,24,10,20,0,0,,0,0,0,12
31,DJ Moore,CHI,WR,8,BAL,7,4,57.1,73,0,42,10.4,18.2,2,3,1.5,0,0,0,11.6
32,Jordan Addison,MIN,WR,8,LAC,4,3,75,26,1,15,6.5,8.7,0,0,,0,0,0,11.6
