#,Player,Pos,Team,Games,Total Points,Slot PPG,Slot%,Wide PPG,Wide%
132,Jamari Thrash,WR,CLV,8,2.6,1.6,62%,1.0,38%
133,Kalif Raymond,WR,DET,6,2.6,1.1,42%,1.5,58%
134,Brycen Tremayne,WR,CAR,8,2.5,0.6,25%,1.9,75%
135,Tyler Lockett,WR,TEN,7,2.4,1.2,48%,1.3,52%
136,Dont’e Thornton Jr.,WR,LV,6,2.4,0.0,0%,2.4,100%
137,Kameron Johnson,WR,TB,7,2.3,2.2,94%,0.1,6%
138,Elijah Moore,WR,BUF,6,2.1,1.1,51%,1.1,49%
139,Devaughn Vele,WR,NO,7,2.1,1.0,49%,1.1,51%
140,Tylan Wallace,WR,BLT,7,2.1,0.3,14%,1.8,86%
141,Jack Bech,WR,LV,7,2.0,0.8,40%,1.2,60%
142,Savion Williams,WR,GB,7,2.0,1.5,73%,0.5,27%
143,Malik Heath,WR,GB,7,1.8,0.2,14%,1.5,86%
144,Nick Westbrook-Ikhine,WR,MIA,8,1.8,0.2,12%,1.5,88%
145,Dareke Young,WR,SEA,4,1.7,0.0,0%,1.7,100%
146,Jordan Watkins,WR,SF,1,1.7,1.7,100%,0.0,0%
147,Ben Skowronek,WR,PIT,7,1.6,1.3,80%,0.3,20%
148,Ashton Dulin,WR,IND,6,1.6,0.0,0%,1.6,100%
149,Xavier Smith,WR,LA,5,1.6,1.3,80%,0.3,20%
150,Marquez Valdes-Scantling,WR,SF,5,1.6,0.6,40%,1.0,60%
151,Konata Mumpfield,WR,LA,6,1.5,0.0,0%,1.5,100%
152,KhaDarel Hodge,WR,ATL,4,1.5,0.4,28%,1.1,72%
153,D’Wayne Eskridge,WR,MIA,7,1.5,0.5,36%,0.9,64%
154,Tyrell Shavers,WR,BUF,7,1.4,0.0,0%,1.4,100%
155,Tay Martin,WR,WAS,3,1.4,0.0,0%,1.4,100%
156,Ryan Miller,WR,TB,8,1.4,0.3,21%,1.1,79%
157,Adam Thielen,WR,MIN,7,1.4,0.4,30%,1.0,70%
158,Arian Smith,WR,NYJ,8,1.3,0.4,0%,0.9,0%
159,Xavier Gipson,WR,PHI,1,1.3,1.3,100%,0.0,0%
160,Mitchell Tinsley,WR,CIN,8,1.3,0.0,0%,1.3,100%
161,Devin Duvernay,WR,CHI,1,1.2,1.2,100%,0.0,0%
162,Cedrick Wilson Jr.,WR,MIA,1,1.2,0.0,0%,1.2,100%
163,Gage Larvadain,WR,CLV,4,1.1,0.6,57%,0.5,43%
164,John Metchie III,WR,PHI,6,1.0,0.7,71%,0.3,29%
165,Tai Felton,WR,MIN,2,1.0,0.0,0%,1.0,100%
166,Jalin Hyatt,WR,NYG,5,0.9,0.0,0%,0.9,100%
167,Malachi Corley,WR,CLV,4,0.9,0.3,27%,0.7,73%
168,Bryce Oliver,WR,TEN,2,0.9,0.0,0%,0.9,100%
169,Nikko Remigio,WR,KC,4,0.8,0.0,0%,0.8,100%
170,David Sills V,WR,ATL,7,0.8,0.8,100%,0.0,0%
171,Jake Bobo,WR,SEA,6,0.7,0.7,100%,0.0,0%
172,Skyy Moore,WR,SF,7,0.6,0.6,100%,0.0,0%
173,Beaux Collins,WR,NYG,7,0.6,0.4,62%,0.2,38%
174,Trent Sherfield,WR,DEN,8,0.6,0.3,51%,0.3,49%
175,Kyle Williams,WR,NE,8,0.5,0.0,0%,0.5,100%
176,David Moore,WR,CAR,3,0.5,0.0,0%,0.5,100%
177,Anthony Gould,WR,IND,3,0.4,0.4,100%,0.0,0%
178,Alex Bachman,WR,LV,5,0.4,0.4,100%,0.0,0%
179,Scott Miller,WR,PIT,6,0.3,0.0,0%,0.3,100%
180,KeAndre Lambert-Smith,WR,LAC,5,0.2,0.0,0%,0.2,100%
