#,Player,Pos,Team,Games,Total Points,Slot PPG,Slot%,Wide PPG,Wide%
1,Rashee Rice,WR,KC,2,23.8,10.2,43%,13.6,57%
2,Jaxon Smith-Njigba,WR,SEA,7,22.3,2.7,12%,19.5,88%
3,Ja’Marr Chase,WR,CIN,8,21.5,6.3,29%,15.2,71%
4,Puka Nacua,WR,LA,6,21.3,7.7,36%,13.5,64%
5,Amon-Ra St. Brown,WR,DET,7,20.8,13.1,63%,7.7,37%
6,George Pickens,WR,DAL,8,18.4,1.9,10%,16.6,90%
7,Garrett Wilson,WR,NYJ,6,16.6,6.8,41%,9.8,59%
8,Drake London,WR,ATL,6,16.2,6.6,41%,9.6,59%
9,Jordan Addison,WR,MIN,4,16.0,3.5,22%,12.5,78%
10,Davante Adams,WR,LA,7,15.7,1.5,10%,14.2,90%
11,Rome Odunze,WR,CHI,7,15.5,2.0,13%,13.5,87%
12,Michael Pittman Jr.,WR,IND,8,15.5,2.7,17%,12.8,83%
13,Justin Jefferson,WR,MIN,7,15.3,4.1,27%,11.2,73%
14,Chris Olave,WR,NO,8,15.0,6.1,40%,9.0,60%
15,Emeka Egbuka,WR,TB,8,15.0,2.6,17%,12.4,83%
16,Keenan Allen,WR,LAC,8,15.0,6.7,45%,8.3,55%
17,CeeDee Lamb,WR,DAL,5,14.9,6.0,40%,8.9,60%
18,D.K. Metcalf,WR,PIT,7,14.7,1.8,13%,12.9,87%
19,DeVonta Smith,WR,PHI,8,14.4,6.8,47%,7.5,53%
20,Malik Nabers,WR,NYG,4,14.3,2.8,19%,11.5,81%
21,Quentin Johnston,WR,LAC,7,14.1,3.0,21%,11.1,79%
22,Jaylen Waddle,WR,MIA,8,13.7,2.0,14%,11.7,86%
23,Zay Flowers,WR,BLT,7,13.7,5.2,38%,8.5,62%
24,Courtland Sutton,WR,DEN,8,13.6,4.1,30%,9.4,70%
25,Ladd McConkey,WR,LAC,8,13.5,7.5,56%,5.9,44%
26,Tyreek Hill,WR,MIA,4,13.4,2.2,16%,11.2,84%
27,Ricky Pearsall,WR,SF,4,13.2,4.4,33%,8.8,67%
28,Tre Tucker,WR,LV,7,13.1,1.9,14%,11.3,86%
29,Nico Collins,WR,HST,6,13.0,1.9,15%,11.1,85%
30,Tetairoa McMillan,WR,CAR,8,12.5,4.0,32%,8.6,68%
31,Deebo Samuel,WR,WAS,7,12.5,5.1,41%,7.4,59%
32,Christian Watson,WR,GB,1,12.5,0.0,0%,12.5,100%
33,Wan’Dale Robinson,WR,NYG,8,12.4,10.3,82%,2.2,18%
34,A.J. Brown,WR,PHI,7,12.4,0.5,4%,11.9,96%
35,Romeo Doubs,WR,GB,7,12.3,1.3,10%,11.0,90%
36,Khalil Shakir,WR,BUF,7,12.1,5.3,44%,6.8,56%
37,Kayshon Boutte,WR,NE,8,12.0,1.2,10%,10.8,90%
38,Stefon Diggs,WR,NE,8,11.9,3.3,28%,8.6,72%
39,Rashid Shaheed,WR,NO,8,11.8,6.0,51%,5.8,49%
40,Troy Franklin,WR,DEN,8,11.6,5.9,51%,5.7,49%
41,Marquise Brown,WR,KC,8,11.0,4.9,45%,6.0,55%
42,Marvin Harrison Jr.,WR,ARZ,7,10.8,2.5,23%,8.3,77%
43,Tee Higgins,WR,CIN,8,10.6,1.3,12%,9.3,88%
44,Jakobi Meyers,WR,LV,6,10.3,6.4,62%,3.9,38%
45,Kendrick Bourne,WR,SF,7,10.1,2.5,24%,7.7,76%
46,Brian Thomas Jr.,WR,JAX,7,9.9,0.6,6%,9.4,94%
47,Terry McLaurin,WR,WAS,4,9.8,0.4,4%,9.5,96%
48,Josh Downs,WR,IND,7,9.5,8.0,84%,1.5,16%
49,Alec Pierce,WR,IND,6,9.4,1.5,16%,7.9,84%
50,Keon Coleman,WR,BUF,7,9.4,1.5,16%,7.9,84%
51,DJ Moore,WR,CHI,7,9.3,1.7,18%,7.6,82%
52,Travis Hunter,WR,JAX,7,9.1,6.6,73%,2.5,27%
53,Calvin Austin III,WR,PIT,5,8.5,4.0,47%,4.6,53%
54,Mike Evans,WR,TB,4,8.5,1.5,17%,7.0,83%
55,Cooper Kupp,WR,SEA,7,8.5,4.7,56%,3.8,44%
56,Cedric Tillman,WR,CLV,4,8.4,4.1,48%,4.4,52%
57,Xavier Worthy,WR,KC,6,8.4,4.9,58%,3.5,42%
58,Jameson Williams,WR,DET,7,8.3,2.7,32%,5.6,68%
59,Tyquan Thornton,WR,KC,8,7.9,3.3,41%,4.6,59%
60,Xavier Hutchinson,WR,HST,7,7.9,4.6,58%,3.3,42%
61,Elic Ayomanor,WR,TEN,8,7.8,1.4,18%,6.5,82%
62,Xavier Legette,WR,CAR,6,7.8,1.9,24%,6.0,76%
63,Robbie Chosen,WR,WAS,1,7.6,1.5,20%,6.1,80%
64,Sterling Shepard,WR,TB,8,7.6,2.7,35%,4.9,65%
65,Jauan Jennings,WR,SF,6,7.5,2.1,27%,5.5,73%
66,Calvin Ridley,WR,TEN,6,7.5,1.5,20%,6.0,80%
67,JuJu Smith-Schuster,WR,KC,8,7.4,4.7,64%,2.6,36%
68,Luke McCaffrey,WR,WAS,7,7.0,2.2,31%,4.8,69%
69,Devontez Walker,WR,BLT,3,7.0,0.0,0%,7.0,100%
70,Christian Kirk,WR,HST,3,7.0,4.6,66%,2.4,34%
71,Tez Johnson,WR,TB,7,6.9,3.8,55%,3.1,45%
72,Dyami Brown,WR,JAX,6,6.9,1.0,14%,5.9,86%
73,Jayden Reed,WR,GB,2,6.8,6.8,100%,0.0,0%
74,Matthew Golden,WR,GB,7,6.6,3.4,51%,3.2,49%
75,Marvin Mims Jr.,WR,DEN,8,6.4,2.3,35%,4.2,65%
76,Mack Hollins,WR,NE,8,6.4,0.5,8%,5.9,92%
77,Parker Washington,WR,JAX,7,6.2,3.1,50%,3.1,50%
78,Joshua Palmer,WR,BUF,6,6.2,1.0,15%,5.3,85%
79,Olamide Zaccheaus,WR,CHI,7,6.2,4.0,64%,2.2,36%
80,KaVontae Turpin,WR,DAL,6,6.1,3.9,64%,2.2,36%
81,Hunter Renfrow,WR,CAR,6,6.0,4.7,79%,1.3,21%
82,Jerry Jeudy,WR,CLV,8,6.0,2.0,33%,4.0,67%
83,DeAndre Hopkins,WR,BLT,7,5.9,0.3,6%,5.6,94%
84,Jayden Higgins,WR,HST,7,5.8,2.8,48%,3.0,52%
85,Chimere Dike,WR,TEN,8,5.6,4.1,73%,1.5,27%
86,Chris Godwin,WR,TB,2,5.6,5.0,89%,0.6,11%
87,Malik Washington,WR,MIA,8,5.6,2.3,41%,3.3,59%
88,Darius Slayton,WR,NYG,6,5.5,0.0,0%,5.5,100%
89,Tory Horton,WR,SEA,7,5.5,0.3,5%,5.2,95%
90,Darnell Mooney,WR,ATL,5,5.4,2.3,43%,3.1,57%
91,Demario Douglas,WR,NE,8,5.3,3.2,60%,2.1,40%
92,Jaylin Noel,WR,HST,7,5.2,3.8,74%,1.3,26%
93,Rashod Bateman,WR,BLT,7,5.2,0.7,13%,4.5,87%
94,Luther Burden III,WR,CHI,7,5.2,1.8,35%,3.4,65%
95,Zay Jones,WR,ARZ,6,5.1,0.7,14%,4.4,86%
96,Jalen Nailor,WR,MIN,7,5.0,3.6,71%,1.5,29%
97,Tyler Johnson,WR,NYJ,7,5.0,1.9,37%,3.1,63%
98,Michael Wilson,WR,ARZ,7,4.9,3.1,62%,1.9,38%
99,Braxton Berrios,WR,HST,2,4.9,2.8,58%,2.1,42%
100,Ryan Flournoy,WR,DAL,7,4.7,2.7,57%,2.0,43%
101,Jalen Tolbert,WR,DAL,8,4.7,1.1,24%,3.5,76%
102,Dontayvion Wicks,WR,GB,6,4.4,2.4,53%,2.1,47%
103,Tutu Atwell,WR,LA,6,4.4,4.2,95%,0.2,5%
104,Chris Moore,WR,WAS,7,4.3,1.3,30%,3.0,70%
105,Josh Reynolds,WR,NYJ,5,4.2,0.8,18%,3.4,82%
106,Curtis Samuel,WR,BUF,3,4.2,0.0,0%,4.2,100%
107,Greg Dortch,WR,ARZ,7,4.0,2.5,63%,1.5,37%
108,Jared Wayne,WR,HST,1,4.0,0.0,0%,4.0,100%
109,Brandin Cooks,WR,NO,8,4.0,1.5,39%,2.5,61%
110,Demarcus Robinson,WR,SF,5,3.8,0.5,13%,3.3,87%
111,Jahan Dotson,WR,PHI,8,3.6,0.6,16%,3.0,84%
112,Roman Wilson,WR,PIT,7,3.6,0.4,11%,3.2,89%
113,Andrei Iosivas,WR,CIN,8,3.5,1.4,39%,2.1,61%
114,Van Jefferson,WR,TEN,8,3.5,0.5,14%,3.0,86%
115,Jordan Whittington,WR,LA,7,3.4,2.1,62%,1.3,38%
116,Tre Harris,WR,LAC,8,3.4,0.6,19%,2.8,81%
117,Jalen Coker,WR,CAR,2,3.3,3.3,100%,0.0,0%
118,Noah Brown,WR,WAS,2,3.3,0.0,0%,3.3,100%
119,Adonai Mitchell,WR,IND,7,3.2,0.6,18%,2.6,82%
120,Lil’Jordan Humphrey,WR,NYG,3,3.2,0.0,0%,3.2,100%
121,Jaylin Lane,WR,WAS,8,3.2,0.5,17%,2.6,83%
122,Ray-Ray McCloud III,WR,ATL,4,3.1,3.0,98%,0.1,2%
123,Casey Washington,WR,ATL,5,3.1,2.2,71%,0.9,29%
124,Isaiah Williams,WR,NYJ,2,3.1,2.3,75%,0.8,25%
125,Justin Watson,WR,HST,2,3.0,3.0,100%,0.0,0%
126,Allen Lazard,WR,NYJ,6,2.9,1.5,52%,1.4,48%
127,Isaac TeSlaa,WR,DET,7,2.9,0.0,0%,2.9,100%
128,Isaiah Bond,WR,CLV,8,2.9,1.5,51%,1.4,49%
129,Jimmy Horn Jr.,WR,CAR,4,2.9,2.1,72%,0.8,28%
130,Tim Patrick,WR,JAX,6,2.7,0.4,16%,2.3,84%
131,Pat Bryant,WR,DEN,8,2.7,0.5,17%,2.2,83%
